ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,4.8,0.5,0.1,0.7,39.9,50.0,147.1,158.3,129.7,85.5,22.3,16.2,655.1
BAJA CALIFORNIA,2.8,16.4,48.0,20.5,11.4,0.0,1.5,0.0,1.3,0.7,1.7,6.2,110.5
BAJA CALIFORNIA SUR,20.2,40.8,0.1,0.4,0.7,0.0,8.5,18.0,35.5,6.6,0.0,0.1,130.9
CAMPECHE,31.0,7.4,8.4,5.9,112.9,303.8,198.9,300.2,171.0,231.3,91.3,71.4,"1,533.5"
COAHUILA,8.1,0.8,2.8,16.6,24.8,25.4,31.6,75.7,82.8,23.2,1.7,27.2,320.7
COLIMA,3.9,0.0,0.0,0.0,12.0,97.7,247.5,204.2,351.6,164.6,20.3,1.0,"1,102.8"
CHIAPAS,78.4,47.3,32.2,49.2,229.7,447.0,356.7,285.1,339.4,323.5,94.4,71.3,"2,354.2"
CHIHUAHUA,1.7,1.2,7.4,0.5,12.7,83.6,140.1,190.0,106.3,34.6,0.0,28.9,607.0
DISTRITO FEDERAL,2.2,1.2,11.8,27.6,75.7,105.6,168.6,215.7,153.6,77.4,38.7,4.3,882.4
DURANGO,13.3,0.0,0.7,1.3,20.0,94.0,103.8,169.1,123.1,36.5,0.2,19.9,581.9
GUANAJUATO,23.8,0.1,3.5,12.7,92.8,71.1,124.8,222.2,113.1,91.0,15.2,9.6,779.9
GUERRERO,0.3,0.0,0.6,3.0,54.3,273.5,290.1,239.7,246.1,148.0,38.8,0.3,"1,294.7"
HIDALGO,12.3,2.5,21.4,26.6,79.0,29.3,80.6,137.8,169.0,79.6,37.6,19.4,695.1
JALISCO,2.3,0.0,0.4,3.3,19.7,146.6,187.0,257.4,163.2,93.0,8.9,9.7,891.5
ESTADO DE MÉXICO,3.1,1.6,6.8,24.6,76.1,67.3,137.9,170.4,124.6,74.1,31.9,0.7,719.1
MICHOACÁN,15.6,0.1,2.9,6.4,70.6,114.8,157.4,206.1,160.1,133.9,18.0,4.1,890.0
MORELOS,0.0,0.0,0.7,7.8,46.0,141.5,183.9,210.4,197.2,82.5,17.0,0.2,887.2
NAYARIT,0.5,0.0,0.0,0.0,0.4,73.5,296.0,292.9,276.6,54.2,0.4,7.5,"1,002.0"
NUEVO LEÓN,2.1,8.6,14.9,21.7,59.1,29.4,83.4,52.0,217.5,55.5,30.8,39.3,614.3
OAXACA,40.0,5.0,4.9,15.5,88.0,167.8,291.8,221.9,226.9,107.2,69.4,31.8,"1,270.2"
PUEBLA,29.8,35.0,28.0,27.5,119.9,146.5,191.4,203.7,213.9,109.0,83.3,33.8,"1,221.8"
QUERÉTARO,17.3,0.3,7.9,17.1,105.4,31.4,87.3,166.3,86.4,51.6,15.2,4.0,590.2
QUINTANA ROO,53.0,31.0,20.6,6.2,82.5,62.8,157.5,178.0,88.0,157.9,153.4,141.0,"1,131.9"
SAN LUIS POTOSÍ,14.3,3.6,18.0,23.3,69.1,37.8,100.2,107.1,143.7,104.2,59.2,39.5,720.0
SINALOA,1.7,0.0,1.3,0.0,1.3,39.3,199.6,249.1,152.5,74.8,0.0,12.2,731.8
SONORA,0.5,1.7,2.4,0.0,0.1,17.3,106.2,111.3,77.1,33.5,1.1,7.7,358.9
TABASCO,215.2,102.4,79.0,17.1,161.3,507.6,252.3,260.8,307.7,404.0,149.8,219.0,"2,676.2"
TAMAULIPAS,2.4,2.6,23.1,14.5,58.5,55.2,93.3,45.0,195.9,105.6,21.3,52.8,670.2
TLAXCALA,1.9,0.0,29.0,45.4,146.2,96.4,129.8,178.4,117.7,83.7,46.1,1.4,876.0
VERACRUZ,59.0,31.1,23.0,25.1,82.9,226.4,325.9,211.3,241.0,188.6,136.3,103.6,"1,654.2"
YUCATÁN,50.1,1.2,39.6,0.6,103.8,128.8,118.6,135.4,107.6,81.5,64.9,59.1,891.2
ZACATECAS,17.0,0.3,0.2,1.6,21.2,44.8,109.1,81.0,95.8,59.4,8.8,16.2,455.4
NACIONAL,18.0,7.2,11.1,10.2,48.9,104.9,149.7,159.6,147.3,88.2,30.5,32.4,808.0
