ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,15.4,0.0,0.0,4.6,7.8,77.0,106.6,110.1,100.8,36.2,3.3,1.8,463.5
BAJA CALIFORNIA,218.4,20.0,5.1,0.0,0.0,0.0,0.1,5.3,0.6,1.7,15.1,5.4,271.7
BAJA CALIFORNIA SUR,61.3,12.9,0.0,0.0,0.0,0.0,8.8,80.1,89.8,4.4,80.1,2.9,340.3
CAMPECHE,84.6,16.1,30.8,51.6,78.0,182.5,132.9,219.2,263.6,141.3,39.4,29.7,"1,269.6"
COAHUILA,10.4,10.7,15.2,8.7,40.3,75.2,32.4,18.0,75.7,21.1,4.2,0.4,312.2
COLIMA,31.9,0.0,0.0,0.0,0.0,296.7,339.8,330.4,170.1,81.4,6.8,0.0,"1,257.2"
CHIAPAS,7.4,4.3,24.3,49.1,90.6,235.9,193.3,599.8,408.5,362.3,87.0,82.4,"2,144.9"
CHIHUAHUA,21.8,12.2,7.5,3.5,14.7,9.0,133.8,132.2,127.6,42.1,17.1,15.4,536.9
DISTRITO FEDERAL,11.9,16.9,5.3,17.4,20.0,150.7,190.8,130.1,147.9,31.5,16.9,0.1,739.5
DURANGO,6.1,2.8,0.0,2.5,8.2,46.1,122.3,80.7,188.2,17.4,23.1,0.3,497.7
GUANAJUATO,9.7,4.4,0.5,14.7,12.5,224.5,190.2,152.0,159.5,18.7,14.3,0.0,800.9
GUERRERO,4.4,8.2,4.8,5.4,3.5,234.9,241.8,222.1,274.6,62.8,17.7,0.0,"1,080.2"
HIDALGO,23.4,24.2,25.7,24.3,40.5,155.6,100.1,88.8,223.6,41.1,40.9,0.4,788.4
JALISCO,16.5,0.0,0.0,2.9,3.7,232.7,322.7,158.8,129.3,30.7,3.3,0.0,900.5
ESTADO DE MÉXICO,8.2,9.8,5.1,17.9,14.8,140.4,154.4,98.0,140.1,18.7,11.0,0.0,618.5
MICHOACÁN,9.5,3.0,1.1,11.0,4.3,269.2,223.8,160.8,160.9,61.5,4.2,0.0,909.4
MORELOS,0.0,3.8,2.7,17.6,7.5,272.9,200.7,162.8,185.2,51.6,23.6,0.0,928.5
NAYARIT,20.8,0.0,0.0,0.0,3.7,214.7,254.9,397.6,366.8,62.6,3.3,0.1,"1,324.4"
NUEVO LEÓN,24.2,20.0,17.0,17.3,51.7,207.2,9.7,45.0,217.6,40.2,20.6,4.1,674.5
OAXACA,11.2,6.6,34.1,9.0,15.2,253.9,227.5,481.1,397.4,176.0,65.2,20.1,"1,697.4"
PUEBLA,8.7,15.8,45.1,28.4,31.8,190.1,176.6,351.1,489.1,118.5,59.0,8.3,"1,522.5"
QUERÉTARO,13.7,12.8,12.6,21.1,30.2,160.7,195.3,76.0,82.3,25.7,30.9,0.0,661.4
QUINTANA ROO,222.6,28.9,42.8,70.3,203.9,292.5,50.9,141.2,279.3,170.2,40.2,60.1,"1,603.0"
SAN LUIS POTOSÍ,18.2,26.2,7.7,28.9,62.0,182.3,64.0,163.4,458.1,89.0,79.4,6.0,"1,185.2"
SINALOA,17.7,13.4,0.0,0.0,5.0,22.0,124.8,189.8,271.3,49.9,53.1,4.5,751.6
SONORA,85.3,35.2,5.7,11.3,4.8,11.1,55.4,143.0,132.9,41.3,27.0,11.7,564.7
TABASCO,62.3,28.6,53.8,71.4,100.8,264.5,126.8,388.8,400.4,395.5,114.4,123.3,"2,130.6"
TAMAULIPAS,19.1,26.8,27.3,25.2,110.0,264.2,33.2,60.2,282.7,44.4,20.9,29.8,943.8
TLAXCALA,4.5,7.7,11.1,37.5,21.8,124.9,126.1,73.5,207.9,34.7,9.6,0.0,659.4
VERACRUZ,43.7,39.2,48.8,38.9,78.8,386.5,140.5,248.0,390.6,127.5,88.5,28.4,"1,659.4"
YUCATÁN,211.8,6.8,41.6,38.9,113.7,289.2,67.9,82.5,262.1,77.7,27.9,14.0,"1,234.0"
ZACATECAS,13.3,3.2,7.9,3.9,14.8,62.4,101.5,105.7,102.8,20.5,7.2,0.0,443.3
NACIONAL,43.2,15.3,14.2,15.8,34.2,133.4,117.6,164.1,204.0,70.4,33.0,14.4,859.6
