ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,32.7,109.0,0.0,0.6,5.3,56.4,138.7,70.6,77.6,2.2,0.0,0.0,493.1
BAJA CALIFORNIA,79.6,57.0,23.0,30.3,0.0,0.0,0.4,2.9,3.9,29.7,8.9,61.7,297.4
BAJA CALIFORNIA SUR,6.4,17.2,1.9,0.0,0.0,0.0,0.8,6.7,73.7,2.1,0.0,0.5,109.3
CAMPECHE,51.3,10.3,3.6,29.1,107.4,327.7,266.0,279.2,237.5,56.0,48.0,9.1,"1,425.2"
COAHUILA,37.6,31.4,6.8,80.2,83.0,74.1,177.8,16.3,81.9,2.0,0.9,0.0,592.0
COLIMA,26.7,191.7,0.0,0.0,0.1,83.2,238.7,356.2,301.1,3.1,0.0,0.0,"1,200.8"
CHIAPAS,45.1,17.8,14.8,70.4,186.4,507.5,395.1,756.7,559.5,58.4,89.9,28.7,"2,730.3"
CHIHUAHUA,32.8,21.1,1.4,13.0,4.1,36.9,180.1,76.3,100.2,3.7,0.2,0.2,470.0
DISTRITO FEDERAL,25.8,57.3,1.6,14.9,27.3,94.3,203.3,174.5,93.7,3.7,1.4,0.1,697.9
DURANGO,10.5,38.7,7.4,3.8,7.8,59.4,199.0,75.6,154.0,2.9,0.0,0.2,559.3
GUANAJUATO,53.1,151.6,0.6,5.5,6.5,79.5,243.0,125.8,131.3,0.7,0.0,0.1,797.7
GUERRERO,36.4,113.9,0.0,0.0,7.4,201.7,318.4,518.2,310.0,9.0,6.0,0.0,"1,521.0"
HIDALGO,61.7,85.1,5.3,59.0,32.7,48.8,337.9,100.9,174.2,20.4,9.2,3.5,938.7
JALISCO,29.0,122.3,0.0,0.8,5.0,125.4,282.8,216.9,156.9,1.2,0.0,0.0,940.3
ESTADO DE MÉXICO,35.1,124.3,0.4,12.3,22.8,89.7,243.7,161.5,114.3,3.8,1.8,0.0,809.7
MICHOACÁN,43.1,179.1,0.2,1.7,10.3,131.4,330.1,232.7,152.7,2.9,2.1,0.0,"1,086.3"
MORELOS,27.0,100.9,0.4,9.6,7.1,182.8,304.7,316.0,249.3,1.8,7.3,0.0,"1,206.9"
NAYARIT,19.6,124.2,0.3,0.1,0.2,54.0,471.2,507.4,462.5,10.3,0.0,0.0,"1,649.8"
NUEVO LEÓN,29.1,36.5,14.3,162.4,49.9,209.6,352.7,45.5,322.2,8.4,0.0,0.6,"1,231.2"
OAXACA,19.4,28.4,17.7,45.7,25.0,241.1,371.3,679.3,460.5,18.3,26.9,6.5,"1,940.1"
PUEBLA,59.8,61.1,15.4,55.1,37.2,117.1,354.4,279.2,273.6,62.5,43.0,6.7,"1,365.1"
QUERÉTARO,39.5,139.9,0.9,22.1,11.0,86.2,204.4,79.4,130.7,2.9,0.0,0.1,717.1
QUINTANA ROO,76.8,35.5,10.9,221.9,187.9,120.9,292.1,130.2,217.9,63.8,130.7,15.2,"1,503.8"
SAN LUIS POTOSÍ,52.5,90.7,4.4,94.6,49.3,85.4,563.6,107.1,284.9,22.6,2.4,2.5,"1,360.0"
SINALOA,15.9,47.0,1.9,1.1,0.6,3.1,154.0,191.7,175.5,5.5,0.0,0.1,596.4
SONORA,59.8,31.3,6.4,6.2,0.0,5.1,130.7,117.9,80.0,10.7,0.0,4.9,453.0
TABASCO,163.6,52.6,35.2,37.2,73.0,319.8,310.1,664.8,551.7,91.6,207.6,54.7,"2,561.9"
TAMAULIPAS,23.9,71.9,6.0,111.9,76.3,131.6,327.7,44.5,207.3,9.9,0.1,0.1,"1,011.2"
TLAXCALA,43.8,67.7,3.2,58.5,35.6,80.3,237.3,164.6,125.3,7.8,5.0,0.0,829.1
VERACRUZ,80.4,59.5,19.7,89.0,23.7,131.9,432.2,395.6,397.2,87.0,47.5,27.4,"1,791.1"
YUCATÁN,26.4,14.3,11.4,53.8,96.6,180.0,228.7,219.0,182.5,39.8,16.8,2.3,"1,071.6"
ZACATECAS,24.1,87.4,0.4,1.6,2.7,36.6,160.0,79.6,115.5,1.1,0.0,0.0,509.0
NACIONAL,40.1,54.7,7.1,40.2,35.3,109.2,244.2,194.6,197.0,17.8,15.2,6.7,962.1
