ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,11.4,12.4,15.7,16.7,18.9,20.6,19.6,18.7,18.6,16.4,14.0,14.1,16.4
BAJA CALIFORNIA,13.0,14.9,15.0,19.2,20.7,22.6,25.3,26.9,25.4,21.0,16.3,12.3,19.4
BAJA CALIFORNIA SUR,15.9,17.1,18.3,21.2,23.4,25.7,28.5,28.4,28.4,25.4,20.3,17.4,22.5
CAMPECHE,23.5,24.0,26.4,27.0,27.0,28.0,27.0,26.9,26.2,25.8,25.3,24.3,26.0
COAHUILA,10.4,13.2,16.8,18.9,21.3,25.5,25.9,24.6,23.0,20.1,14.9,14.0,19.1
COLIMA,22.3,21.7,24.2,24.4,27.0,27.4,26.1,26.1,26.0,25.3,24.5,24.0,24.9
CHIAPAS,22.1,22.5,24.5,25.4,25.2,25.4,24.4,24.6,24.2,23.9,23.3,22.6,24.0
CHIHUAHUA,7.1,9.8,12.8,17.4,19.9,24.4,25.0,22.9,22.0,18.2,10.8,10.4,16.7
DISTRITO FEDERAL,13.5,14.3,17.8,17.2,17.1,18.7,17.4,17.1,16.7,15.4,14.4,13.8,16.1
DURANGO,9.3,10.8,14.4,16.8,19.2,23.5,22.3,20.9,19.9,17.5,12.9,13.3,16.7
GUANAJUATO,13.3,14.3,17.5,18.3,19.5,20.4,19.7,19.0,18.9,17.0,15.6,15.0,17.4
GUERRERO,23.0,22.9,25.8,26.8,27.1,26.8,25.6,25.1,24.6,24.7,24.1,23.4,25.0
HIDALGO,12.3,13.2,16.5,16.6,17.1,18.2,17.4,17.2,16.6,15.5,14.7,14.0,15.8
JALISCO,15.8,16.1,19.3,20.4,22.3,24.5,22.4,21.9,21.4,20.0,17.7,17.5,19.9
ESTADO DE MÉXICO,11.3,11.7,14.7,14.9,15.1,16.0,15.2,15.2,15.1,14.0,12.8,12.3,14.0
MICHOACÁN,15.0,15.4,19.2,19.9,21.2,22.4,20.7,20.3,19.8,18.6,17.4,17.2,18.9
MORELOS,18.8,19.0,22.3,23.3,23.1,23.0,22.0,21.8,21.5,21.3,20.4,19.8,21.4
NAYARIT,20.1,20.2,23.2,24.4,26.9,28.9,27.2,27.0,27.1,26.2,23.6,22.9,24.8
NUEVO LEÓN,11.4,14.3,18.0,19.4,21.3,25.0,25.3,24.4,23.5,20.4,15.2,14.5,19.4
OAXACA,19.2,19.7,22.0,22.6,22.7,22.9,21.9,21.8,21.5,21.2,20.6,19.9,21.3
PUEBLA,14.7,15.0,17.8,18.2,18.3,19.1,18.3,17.9,17.5,17.0,16.1,15.6,17.1
QUERÉTARO,13.0,14.6,17.9,18.0,18.6,20.1,19.8,18.9,18.7,16.5,15.9,16.2,17.4
QUINTANA ROO,22.8,22.9,25.3,26.3,26.1,27.8,26.9,27.0,26.6,25.7,25.1,23.5,25.5
SAN LUIS POTOSÍ,13.8,16.1,19.6,20.4,22.0,23.9,23.0,23.0,22.4,19.9,17.6,17.7,20.0
SINALOA,18.8,19.1,21.0,24.1,27.1,30.4,29.3,28.7,29.1,27.7,22.2,20.7,24.9
SONORA,13.9,15.5,16.6,21.3,24.8,28.5,29.3,28.1,28.0,24.0,16.6,14.2,21.7
TABASCO,23.5,24.5,26.9,28.5,28.8,29.3,28.5,28.6,27.9,26.9,26.0,25.2,27.1
TAMAULIPAS,15.2,18.8,21.9,23.1,24.7,28.0,27.3,27.3,26.5,23.2,19.1,18.6,22.8
TLAXCALA,11.4,12.1,15.0,14.5,14.7,16.1,14.8,15.0,14.6,13.7,12.9,12.3,13.9
VERACRUZ,17.8,19.2,22.1,23.1,23.8,25.7,24.2,24.0,23.5,22.5,20.7,20.7,22.3
YUCATÁN,23.1,23.4,25.7,26.5,26.9,28.2,27.5,27.5,26.9,26.0,25.2,23.5,25.9
ZACATECAS,11.0,11.6,15.3,16.5,18.8,21.7,20.2,19.5,18.9,16.7,13.5,14.0,16.5
NACIONAL,15.9,16.9,19.7,21.0,22.2,24.0,23.4,23.0,22.5,20.9,18.4,17.6,20.5
