ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.7,14.3,15.0,19.4,20.4,22.2,20.4,19.2,18.5,17.6,14.9,13.1,17.3
BAJA CALIFORNIA,13.8,13.5,15.6,17.3,21.3,23.0,27.5,27.0,24.7,20.7,18.0,14.1,19.7
BAJA CALIFORNIA SUR,17.4,17.1,18.4,20.8,22.4,24.4,27.8,28.5,28.4,23.9,21.1,18.0,22.4
CAMPECHE,22.5,24.3,27.2,27.5,28.9,28.3,27.9,27.4,26.9,25.1,23.5,23.4,26.1
COAHUILA,14.1,15.8,18.1,22.5,25.5,28.4,27.4,26.3,25.7,22.3,16.9,13.8,21.4
COLIMA,25.5,25.6,23.6,26.7,26.5,27.7,28.3,28.1,28.1,26.9,26.1,25.0,26.5
CHIAPAS,21.8,23.1,25.2,25.5,25.5,25.2,24.4,24.4,24.2,23.1,22.5,22.5,24.0
CHIHUAHUA,11.9,11.6,13.6,18.1,22.0,25.5,25.7,23.4,24.1,19.7,14.6,11.3,18.5
DISTRITO FEDERAL,12.9,14.8,16.7,18.8,18.2,18.6,17.1,16.5,16.3,15.5,14.1,14.1,16.1
DURANGO,12.9,13.8,15.4,19.7,22.8,25.1,23.5,21.8,21.4,19.5,14.8,12.3,18.6
GUANAJUATO,14.6,16.0,17.5,21.0,21.6,22.5,20.5,19.8,19.4,18.3,16.2,15.0,18.5
GUERRERO,23.2,24.8,25.5,27.8,27.8,27.7,25.7,25.2,25.1,24.9,24.3,22.6,25.4
HIDALGO,14.9,16.1,17.9,21.0,21.5,21.9,20.4,19.9,18.9,18.1,14.7,14.8,18.3
JALISCO,16.9,17.9,18.2,22.1,22.6,24.4,22.9,21.9,21.9,21.0,18.5,16.6,20.4
ESTADO DE MÉXICO,12.5,14.2,15.8,18.4,18.1,18.7,17.3,16.7,16.2,15.6,14.0,13.4,15.9
MICHOACÁN,16.3,17.9,19.5,23.3,23.4,24.7,22.4,21.6,21.7,21.2,18.0,18.0,20.7
MORELOS,17.8,19.9,20.7,23.3,23.6,23.4,21.5,20.1,19.9,19.5,18.7,17.7,20.5
NAYARIT,23.2,23.3,22.1,25.5,25.9,28.6,28.1,27.5,27.9,27.2,24.7,21.8,25.5
NUEVO LEÓN,12.6,13.2,14.3,16.3,18.4,20.2,19.3,18.6,18.1,16.5,13.7,11.9,16.1
OAXACA,20.9,22.7,24.6,26.7,26.9,26.9,26.1,26.0,26.5,24.8,23.3,22.9,24.9
PUEBLA,15.0,16.1,18.5,19.9,20.2,21.0,20.0,19.7,18.9,18.9,16.8,16.3,18.4
QUERÉTARO,15.3,17.4,18.5,22.4,22.5,22.9,21.6,20.9,20.3,19.0,16.7,16.2,19.5
QUINTANA ROO,22.6,23.7,26.2,26.7,27.9,27.8,27.8,27.9,27.4,25.6,24.4,23.5,26.0
SAN LUIS POTOSÍ,16.9,17.7,19.9,22.7,24.3,25.9,24.3,23.7,22.9,21.1,17.7,16.2,21.1
SINALOA,20.5,20.4,20.7,24.3,26.2,28.9,30.6,29.7,30.5,27.6,23.9,20.0,25.3
SONORA,15.0,15.0,17.3,21.0,25.3,28.8,31.4,29.3,29.5,24.5,19.9,17.5,22.9
TABASCO,24.2,25.6,28.4,29.0,30.8,30.7,29.9,29.3,29.0,27.2,25.6,25.0,27.9
TAMAULIPAS,20.6,20.4,22.8,25.3,27.8,30.0,29.1,28.8,28.4,25.4,21.7,19.2,25.0
TLAXCALA,11.6,13.2,14.5,16.7,16.3,17.0,15.8,15.0,14.6,13.8,12.5,11.6,14.4
VERACRUZ,20.7,20.3,23.2,27.1,29.0,29.8,26.2,25.9,25.6,25.1,21.2,19.2,24.5
YUCATÁN,22.2,24.9,27.2,27.7,29.1,28.6,28.6,28.6,28.2,25.8,24.2,23.8,26.6
ZACATECAS,11.7,12.8,13.8,17.9,19.5,21.6,20.0,18.8,18.5,17.0,13.7,11.8,16.4
NACIONAL,17.3,18.4,19.9,22.6,23.8,25.0,24.4,23.7,23.4,21.6,19.1,17.6,21.4
