ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.2,12.9,16.9,18.0,20.5,19.7,19.2,19.2,18.5,17.9,14.7,12.1,16.8
BAJA CALIFORNIA,12.5,12.6,18.8,18.5,22.0,23.3,27.3,26.7,25.7,19.5,14.1,12.9,19.5
BAJA CALIFORNIA SUR,16.0,16.1,19.7,20.5,23.2,25.4,28.0,28.6,27.2,23.6,19.6,17.3,22.1
CAMPECHE,22.9,23.6,25.9,27.2,27.1,28.4,27.7,27.9,27.2,26.4,24.5,22.8,26.0
COAHUILA,12.5,14.8,20.3,22.1,26.0,26.7,26.6,26.1,24.1,22.6,16.8,12.9,21.0
COLIMA,23.3,23.7,25.9,25.9,28.0,27.2,26.8,27.5,26.6,26.7,25.9,24.5,26.0
CHIAPAS,22.1,22.8,24.2,25.0,25.0,24.7,24.5,25.0,24.5,24.4,23.1,22.3,24.0
CHIHUAHUA,10.6,11.1,16.8,18.3,23.5,25.4,25.2,24.5,22.7,19.4,12.6,10.7,18.4
DISTRITO FEDERAL,13.5,14.8,16.2,16.8,17.2,16.6,16.5,16.8,16.4,17.2,15.6,13.9,16.0
DURANGO,10.7,12.2,17.0,18.5,21.5,22.7,22.6,21.5,20.1,18.6,13.8,11.7,17.6
GUANAJUATO,13.5,14.5,18.4,19.4,21.0,19.9,19.6,19.9,19.4,19.1,16.5,14.0,17.9
GUERRERO,22.5,23.3,25.6,26.5,27.2,25.8,25.4,25.4,25.0,24.9,24.0,23.4,24.9
HIDALGO,13.3,14.3,16.1,17.3,18.1,18.2,17.5,18.1,17.8,17.3,15.0,13.0,16.3
JALISCO,15.5,16.6,20.5,21.5,23.5,22.6,22.4,22.6,22.2,22.2,19.2,17.3,20.5
ESTADO DE MÉXICO,11.6,12.7,15.1,16.0,16.7,16.2,16.0,16.4,16.1,15.9,15.2,13.1,15.1
MICHOACÁN,13.6,14.5,18.0,19.0,20.4,19.0,18.0,18.4,18.6,18.2,16.1,14.7,17.4
MORELOS,17.7,18.8,21.7,22.8,23.7,21.8,20.9,21.1,20.9,20.9,18.9,16.2,20.4
NAYARIT,20.9,21.2,24.5,25.4,28.2,28.9,27.9,27.9,27.6,27.8,24.3,22.9,25.6
NUEVO LEÓN,11.4,12.4,15.6,17.1,19.0,19.3,19.2,19.1,18.3,17.5,14.3,11.6,16.2
OAXACA,22.2,23.0,23.6,25.2,26.6,26.5,26.5,27.5,26.4,26.0,24.2,22.5,25.0
PUEBLA,13.7,14.6,16.7,18.1,19.2,20.2,20.4,20.7,19.8,20.2,17.6,14.3,18.0
QUERÉTARO,13.7,15.6,19.2,19.9,21.9,21.0,20.5,21.4,20.6,19.9,17.6,15.9,18.9
QUINTANA ROO,23.1,23.9,25.0,25.6,26.6,27.4,27.3,27.7,27.4,26.5,24.9,23.3,25.7
SAN LUIS POTOSÍ,16.0,17.0,21.0,22.0,23.7,23.5,24.0,24.1,23.0,22.2,19.2,15.9,21.0
SINALOA,18.0,18.1,22.1,23.6,27.1,29.7,29.4,29.3,28.4,26.8,21.3,19.5,24.4
SONORA,14.1,13.7,20.3,20.8,25.7,29.2,30.1,29.6,27.1,23.1,16.1,14.3,22.0
TABASCO,23.5,23.0,26.2,27.3,28.0,29.1,28.7,29.2,28.3,28.1,26.1,24.4,26.8
TAMAULIPAS,18.2,19.2,23.2,24.2,26.1,27.0,27.8,28.6,27.2,26.4,23.0,18.6,24.1
TLAXCALA,11.1,12.2,14.6,15.5,16.5,16.3,15.8,16.2,16.1,15.9,13.7,11.8,14.6
VERACRUZ,19.2,19.9,22.5,23.5,24.8,25.3,25.3,25.8,25.0,24.6,22.2,19.1,23.1
YUCATÁN,22.8,23.8,25.8,26.5,27.7,29.1,28.2,28.7,27.8,27.0,24.9,23.2,26.3
ZACATECAS,11.1,11.8,16.0,16.7,19.9,19.3,18.9,19.0,18.0,17.1,13.3,11.1,16.0
NACIONAL,16.3,17.2,20.4,21.4,23.3,23.6,23.6,23.8,22.9,22.0,19.0,16.9,20.9
