ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.5,14.2,16.9,19.4,21.1,20.9,18.0,19.0,17.6,16.2,14.3,13.2,16.9
BAJA CALIFORNIA,13.1,15.8,13.3,16.4,18.1,20.4,23.2,24.5,23.7,21.9,16.9,12.9,18.3
BAJA CALIFORNIA SUR,16.3,17.7,18.1,20.6,21.2,23.8,25.9,28.0,27.2,25.1,19.8,16.6,21.7
CAMPECHE,24.6,24.4,26.8,28.9,28.6,28.3,27.8,27.5,26.8,26.2,24.1,24.1,26.5
COAHUILA,12.6,14.1,19.1,21.6,24.1,25.4,24.1,25.1,21.8,20.1,14.9,13.4,19.7
COLIMA,22.7,23.8,23.6,24.6,25.4,26.3,26.2,26.2,25.8,25.7,25.1,24.5,25.0
CHIAPAS,22.8,22.6,24.5,26.2,25.9,25.5,24.7,24.7,24.3,23.8,22.5,22.5,24.2
CHIHUAHUA,8.8,10.9,13.5,17.4,21.4,23.9,22.1,22.1,19.8,17.4,11.7,9.3,16.5
DISTRITO FEDERAL,13.9,15.1,18.1,18.7,18.9,17.5,16.5,17.9,16.7,15.6,14.0,13.4,16.4
DURANGO,11.9,12.9,16.5,19.2,22.0,23.0,20.2,20.7,18.9,16.8,13.3,11.4,17.2
GUANAJUATO,14.7,15.9,18.9,21.0,22.4,21.3,18.9,19.6,18.4,16.9,15.4,14.8,18.2
GUERRERO,23.5,24.6,25.7,26.9,27.7,26.4,25.3,25.4,24.5,24.5,23.9,23.4,25.1
HIDALGO,13.8,14.0,17.8,19.4,19.7,18.6,17.2,17.5,16.6,15.2,13.5,13.3,16.4
JALISCO,16.6,18.3,20.0,22.0,23.5,23.9,21.5,21.9,21.0,20.1,18.3,17.5,20.4
ESTADO DE MÉXICO,12.2,13.2,15.7,16.9,17.2,16.2,15.2,15.4,14.8,14.2,12.8,12.3,14.7
MICHOACÁN,17.2,18.4,20.5,22.2,23.4,22.6,20.5,20.8,19.8,19.1,17.3,16.8,19.9
MORELOS,19.4,21.0,22.8,24.8,24.7,23.7,22.0,22.5,21.4,21.2,19.8,19.3,21.9
NAYARIT,21.5,22.7,23.6,24.8,26.0,28.4,26.9,27.2,27.0,26.6,24.3,23.0,25.2
NUEVO LEÓN,12.6,14.8,19.8,22.6,24.3,25.0,24.4,25.4,21.9,20.6,14.9,14.0,20.0
OAXACA,20.1,20.3,22.4,23.8,24.1,22.8,21.9,22.1,21.4,20.9,19.8,19.5,21.6
PUEBLA,15.3,16.2,18.9,20.3,20.3,19.3,17.9,18.0,17.4,16.8,15.6,15.1,17.6
QUERÉTARO,15.2,15.7,19.4,21.4,21.6,20.1,18.1,18.9,17.8,16.4,15.0,14.7,17.9
QUINTANA ROO,23.8,23.2,25.3,27.0,27.8,28.0,27.6,27.6,26.9,26.2,23.8,23.7,25.9
SAN LUIS POTOSÍ,16.3,16.8,21.2,23.6,25.4,24.4,21.8,23.4,21.4,19.7,16.6,16.2,20.6
SINALOA,19.1,20.8,20.9,23.9,25.9,29.4,28.9,29.5,28.0,27.4,22.5,19.9,24.7
SONORA,13.8,16.7,16.2,20.0,23.3,27.0,29.0,28.9,27.0,24.6,18.1,14.1,21.6
TABASCO,25.6,24.3,27.6,30.1,30.4,29.9,29.0,29.2,28.1,27.3,24.7,24.7,27.6
TAMAULIPAS,17.4,19.0,23.9,26.7,27.9,28.1,26.1,28.1,25.0,23.9,18.4,18.0,23.5
TLAXCALA,11.7,13.1,15.8,16.9,16.5,15.7,14.7,14.6,14.3,13.4,11.7,11.6,14.2
VERACRUZ,19.6,19.4,23.5,26.0,26.9,25.9,24.4,24.7,23.6,22.5,19.7,19.2,23.0
YUCATÁN,24.6,24.0,26.2,28.3,28.7,28.0,27.8,27.8,27.0,26.2,24.4,24.1,26.4
ZACATECAS,12.3,13.7,16.7,19.1,21.4,21.5,18.5,19.6,18.3,16.5,14.3,13.1,17.1
NACIONAL,17.0,18.0,20.4,22.5,23.6,23.8,22.7,23.2,22.0,20.9,18.2,17.2,20.8
