ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.6,14.5,17.0,19.6,21.2,20.8,20.3,19.9,19.8,18.2,15.7,12.9,17.7
BAJA CALIFORNIA,14.0,14.1,14.5,18.4,20.6,23.3,24.4,25.9,24.0,18.6,13.6,14.4,18.8
BAJA CALIFORNIA SUR,17.4,18.2,18.3,20.9,22.2,25.7,27.7,28.3,27.4,23.4,18.4,17.8,22.1
CAMPECHE,22.2,23.5,26.4,28.0,29.0,27.5,27.6,26.8,27.0,25.5,24.9,22.1,25.9
COAHUILA,13.2,16.2,19.7,22.0,25.7,25.3,26.7,25.3,23.8,19.5,15.2,11.7,20.4
COLIMA,23.3,23.8,23.3,24.5,25.7,27.3,27.2,27.3,26.4,26.8,25.6,24.2,25.4
CHIAPAS,21.5,22.4,24.3,24.7,24.6,24.2,24.4,24.1,23.9,23.4,23.5,21.3,23.5
CHIHUAHUA,10.7,13.0,14.8,18.6,23.0,23.3,23.6,22.5,21.6,16.6,10.9,9.1,17.3
DISTRITO FEDERAL,12.8,14.3,16.4,17.9,17.7,16.9,17.2,16.4,16.7,16.7,16.2,12.5,16.0
DURANGO,11.7,13.8,16.4,19.1,22.1,21.1,21.4,20.6,20.4,17.0,13.5,11.0,17.3
GUANAJUATO,14.3,16.0,18.5,20.6,21.6,20.2,19.9,19.4,19.6,18.3,17.2,14.1,18.3
GUERRERO,22.6,23.5,24.8,26.1,26.3,25.1,25.1,24.9,24.9,25.1,24.8,23.3,24.7
HIDALGO,12.9,14.6,17.1,18.2,18.8,17.8,17.9,17.2,17.2,15.7,15.7,12.7,16.3
JALISCO,16.9,18.4,19.6,21.9,23.6,22.6,22.2,21.6,21.8,21.2,19.1,17.4,20.5
ESTADO DE MÉXICO,11.3,12.7,14.6,15.9,16.2,15.7,15.4,14.9,15.0,14.3,13.9,10.8,14.2
MICHOACÁN,15.9,17.3,18.9,21.0,21.7,20.5,20.0,19.7,19.9,19.3,18.0,15.7,19.0
MORELOS,18.3,19.9,22.3,24.0,23.7,22.2,22.4,22.0,22.0,21.4,21.4,18.7,21.5
NAYARIT,21.2,22.4,23.0,24.8,26.9,27.4,26.8,26.9,26.9,26.1,23.6,22.0,24.8
NUEVO LEÓN,15.3,17.9,20.9,22.3,25.0,24.9,26.2,25.0,23.9,19.6,16.6,12.2,20.8
OAXACA,18.7,20.1,22.4,23.1,23.2,22.3,22.7,22.3,22.0,21.6,21.4,19.4,21.6
PUEBLA,14.1,15.6,18.2,19.1,19.5,18.4,18.4,18.3,18.5,17.2,17.4,14.3,17.4
QUERÉTARO,14.7,15.9,18.5,19.7,21.2,19.9,19.6,18.7,19.3,17.7,17.7,14.3,18.1
QUINTANA ROO,22.3,23.0,24.7,25.9,26.9,26.4,27.1,26.7,26.8,25.0,24.7,22.6,25.2
SAN LUIS POTOSÍ,16.7,18.6,21.8,23.1,24.6,23.5,24.1,23.4,23.1,20.8,19.8,16.3,21.3
SINALOA,19.4,21.0,21.6,24.0,27.0,29.4,29.2,28.7,28.7,26.5,21.2,20.3,24.7
SONORA,15.5,16.9,17.6,22.3,26.3,29.8,30.3,29.2,28.8,23.0,15.3,15.4,22.5
TABASCO,23.2,24.2,27.1,27.8,28.5,27.5,27.5,26.5,26.7,25.0,25.5,23.0,26.0
TAMAULIPAS,18.8,21.0,24.2,25.0,27.5,26.8,28.2,27.2,26.6,22.7,20.7,15.8,23.7
TLAXCALA,11.5,12.9,15.1,16.2,16.4,15.8,15.3,15.0,15.3,14.2,14.2,10.8,14.4
VERACRUZ,19.3,20.7,24.0,24.6,26.0,24.9,25.0,24.5,24.5,22.6,21.8,18.5,23.0
YUCATÁN,22.7,23.7,26.4,27.4,28.6,27.5,28.0,27.5,27.5,25.5,25.1,22.4,26.0
ZACATECAS,12.6,14.6,16.4,19.2,21.3,20.1,20.1,19.3,19.3,17.7,15.1,12.4,17.3
NACIONAL,16.8,18.3,20.3,22.1,23.5,23.3,23.5,23.0,22.8,20.8,19.0,16.5,20.8
