ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.1,15.2,15.8,18.6,21.1,20.6,19.3,19.0,18.3,17.2,15.9,13.7,17.2
BAJA CALIFORNIA,12.6,14.5,15.6,17.0,19.2,21.3,25.7,25.0,23.2,21.1,15.6,12.4,18.6
BAJA CALIFORNIA SUR,16.8,18.6,18.8,20.6,22.3,24.9,27.3,28.0,27.3,24.3,19.8,17.0,22.1
CAMPECHE,23.2,23.9,25.6,27.8,28.2,27.8,27.7,27.5,26.8,25.8,25.3,23.3,26.1
COAHUILA,10.8,13.2,16.3,20.1,22.8,23.9,24.6,23.5,21.7,19.0,17.1,13.4,18.9
COLIMA,23.4,24.4,24.0,24.7,24.7,25.7,26.2,25.9,25.7,25.8,24.5,23.5,24.9
CHIAPAS,21.8,22.5,23.8,25.6,25.8,25.0,24.5,24.5,24.1,23.1,23.1,21.8,23.8
CHIHUAHUA,8.3,10.8,12.9,16.4,20.8,23.1,22.7,22.4,21.4,18.4,14.0,9.5,16.7
DISTRITO FEDERAL,12.8,14.8,15.8,18.3,18.9,18.0,17.3,17.4,16.6,15.7,14.8,13.3,16.1
DURANGO,10.8,13.2,14.5,17.6,20.7,21.3,20.4,20.6,19.6,17.4,15.1,12.7,17.0
GUANAJUATO,13.5,16.2,17.0,20.2,22.3,21.6,20.0,19.6,18.6,17.5,16.7,15.1,18.2
GUERRERO,23.3,24.6,25.5,26.4,26.9,26.3,25.3,25.1,25.1,25.5,24.6,23.7,25.2
HIDALGO,12.1,14.4,15.5,18.2,19.2,18.4,17.7,17.4,16.0,15.0,14.6,13.1,16.0
JALISCO,16.4,18.5,18.9,21.4,23.1,23.2,22.2,22.0,21.9,20.7,18.9,17.2,20.4
ESTADO DE MÉXICO,12.1,14.1,14.8,17.0,18.1,17.1,16.3,16.4,15.6,14.9,13.8,12.7,15.2
MICHOACÁN,16.5,18.9,19.2,21.3,22.9,22.5,21.1,21.0,20.2,19.2,17.8,16.6,19.8
MORELOS,18.6,20.7,22.1,24.0,24.9,23.7,22.2,21.9,21.3,21.2,20.1,19.0,21.6
NAYARIT,20.2,22.1,22.3,24.0,26.0,27.2,26.9,26.6,26.5,26.3,23.7,21.8,24.5
NUEVO LEÓN,10.7,13.8,16.8,20.2,23.0,24.1,24.7,24.1,21.8,19.7,17.7,14.0,19.2
OAXACA,19.8,20.8,22.2,23.5,24.2,23.2,22.6,22.1,21.8,21.3,21.6,20.3,21.9
PUEBLA,14.2,15.6,17.1,19.0,20.0,19.0,18.5,18.1,17.6,16.5,16.1,14.6,17.2
QUERÉTARO,13.0,15.7,16.7,19.8,21.7,21.0,19.8,19.3,17.7,16.3,16.3,14.4,17.6
QUINTANA ROO,23.0,23.4,24.9,26.7,27.4,27.5,27.4,27.3,27.2,25.9,25.0,23.0,25.7
SAN LUIS POTOSÍ,14.1,16.3,18.6,22.1,23.9,24.0,23.4,23.0,22.5,20.6,19.3,16.3,20.3
SINALOA,18.8,21.0,21.2,23.3,25.7,28.9,28.8,29.0,28.8,27.2,22.9,19.9,24.6
SONORA,13.9,16.3,17.4,20.2,24.1,29.0,29.1,29.1,27.7,24.8,18.2,13.5,21.9
TABASCO,22.9,23.6,25.7,28.6,29.5,28.9,28.6,28.5,27.9,26.0,25.9,23.6,26.6
TAMAULIPAS,14.6,18.0,20.9,24.6,26.6,27.3,27.4,27.1,25.8,23.7,21.9,18.4,23.0
TLAXCALA,10.7,12.8,13.8,15.7,16.7,15.8,15.1,15.0,14.1,13.3,12.8,11.1,13.9
VERACRUZ,18.1,19.0,20.9,24.2,25.3,24.9,24.6,24.3,23.7,21.9,21.9,18.8,22.3
YUCATÁN,22.9,23.2,25.4,27.4,28.5,28.0,27.7,27.3,27.1,26.0,25.1,23.5,26.0
ZACATECAS,11.9,14.3,15.0,18.2,20.8,20.8,19.6,19.5,18.9,17.4,15.7,13.6,17.1
NACIONAL,16.1,17.9,19.2,21.6,23.3,23.6,23.3,23.0,22.3,20.9,19.2,17.0,20.6
