ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1,13.1,16.4,18.8,21.5,21.0,18.8,18.4,17.9,16.9,14.8,13.1,17.0
BAJA CALIFORNIA,12.7,12.5,15.2,18.0,19.6,24.2,26.8,25.2,24.6,21.7,17.3,12.5,19.2
BAJA CALIFORNIA SUR,16.2,15.7,18.4,20.7,22.5,26.4,27.9,27.9,27.8,25.1,21.1,17.7,22.3
CAMPECHE,24.1,24.3,24.9,27.0,28.4,27.8,27.5,27.0,26.6,25.6,24.7,23.6,26.0
COAHUILA,13.5,15.0,17.0,20.2,24.1,26.2,23.9,23.5,21.8,19.0,16.6,13.3,19.5
COLIMA,23.2,23.4,24.5,25.4,26.9,26.4,25.7,26.3,25.7,26.4,25.5,24.3,25.3
CHIAPAS,21.8,22.4,23.5,25.1,25.8,24.9,24.2,24.3,24.3,23.7,22.6,21.8,23.7
CHIHUAHUA,9.1,9.9,14.1,17.9,21.5,25.1,22.4,21.2,19.9,16.5,13.3,9.6,16.7
DISTRITO FEDERAL,13.2,13.8,15.1,16.3,17.6,17.4,16.6,16.6,16.1,15.8,14.8,12.8,15.5
DURANGO,11.6,11.7,15.8,18.1,21.6,23.1,20.3,20.0,19.3,17.2,14.2,12.2,17.1
GUANAJUATO,14.8,15.5,17.7,20.1,21.8,21.3,19.3,19.2,18.8,18.1,15.9,14.4,18.1
GUERRERO,23.6,24.4,25.5,26.8,26.9,25.8,25.0,25.1,24.7,24.9,24.2,23.4,25.0
HIDALGO,13.8,13.9,15.7,17.9,19.2,18.3,17.6,17.5,17.3,16.1,14.7,13.4,16.3
JALISCO,16.8,17.1,19.5,21.8,23.8,23.4,21.7,21.8,21.4,21.0,18.7,17.0,20.3
ESTADO DE MÉXICO,12.2,12.7,14.1,15.9,16.6,16.0,15.1,15.4,15.2,14.7,13.5,12.1,14.5
MICHOACÁN,17.7,18.3,20.0,22.0,22.9,21.8,20.8,21.4,20.5,20.1,18.7,17.4,20.1
MORELOS,19.4,20.4,22.1,23.5,23.8,22.9,21.5,21.7,21.5,21.4,20.1,19.0,21.4
NAYARIT,21.7,21.2,23.0,24.7,27.0,27.9,26.3,26.9,26.4,26.6,25.0,22.5,24.9
NUEVO LEÓN,14.4,15.5,17.6,20.8,24.2,26.1,24.1,24.3,22.7,19.3,16.8,13.3,19.9
OAXACA,21.0,21.6,22.4,23.9,24.0,23.2,22.6,23.0,22.4,22.1,21.1,20.1,22.3
PUEBLA,15.1,16.3,17.4,19.3,20.2,19.5,18.9,18.8,18.6,17.3,16.1,14.8,17.7
QUERÉTARO,14.7,15.4,17.2,19.5,20.9,20.4,18.9,18.9,18.7,17.6,16.1,14.6,17.7
QUINTANA ROO,23.8,24.3,24.4,25.8,27.7,27.3,27.1,27.3,26.8,25.7,24.2,23.0,25.6
SAN LUIS POTOSÍ,16.4,17.2,19.6,22.4,24.6,24.9,23.1,23.1,22.4,20.4,18.6,15.7,20.7
SINALOA,18.9,18.7,21.4,24.4,27.3,30.7,28.1,29.0,28.3,27.1,23.8,20.2,24.8
SONORA,13.5,13.8,17.5,21.2,24.3,30.3,28.2,27.4,27.3,24.1,18.8,14.6,21.8
TABASCO,24.5,24.8,25.8,28.9,29.9,28.7,28.6,28.6,28.4,27.5,25.7,24.3,27.1
TAMAULIPAS,18.3,19.8,22.0,24.8,27.6,29.0,26.9,27.1,26.0,23.0,21.1,17.5,23.6
TLAXCALA,11.4,12.1,13.1,14.9,16.2,15.6,14.6,14.6,14.4,14.1,12.6,11.5,13.8
VERACRUZ,19.4,20.5,21.3,24.1,26.2,25.2,24.3,24.5,24.1,22.7,21.0,18.9,22.7
YUCATÁN,24.3,24.6,24.9,26.4,28.2,28.0,27.6,27.6,26.8,25.8,24.8,23.7,26.1
ZACATECAS,13.1,12.9,16.2,18.4,21.5,21.6,19.2,18.9,18.4,17.4,15.0,13.2,17.2
NACIONAL,17.1,17.6,19.5,21.7,23.6,24.1,22.9,22.9,22.3,21.1,19.1,17.1,20.7
