ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.8,14.1,17.4,20.4,22.0,21.4,19.7,19.7,19.4,19.9,18.0,14.2,18.3
BAJA CALIFORNIA,12.4,14.2,14.9,17.3,19.1,22.8,24.9,25.2,25.2,19.2,17.5,13.2,18.8
BAJA CALIFORNIA SUR,16.5,17.5,18.3,21.0,23.1,25.0,27.6,28.1,28.1,23.2,20.4,16.9,22.1
CAMPECHE,23.0,23.6,25.6,28.2,29.0,27.9,27.8,27.8,27.0,26.4,24.2,22.7,26.1
COAHUILA,12.9,13.0,18.1,24.5,27.1,27.7,26.8,26.8,24.2,22.5,16.8,13.4,21.2
COLIMA,22.5,23.3,24.1,25.2,26.5,26.8,26.5,26.4,26.6,25.7,24.1,22.9,25.0
CHIAPAS,22.1,22.3,23.9,25.3,25.6,24.5,24.6,24.7,24.1,24.4,22.7,22.2,23.9
CHIHUAHUA,12.4,13.5,16.7,21.8,25.7,27.9,26.0,26.1,23.0,20.4,14.7,11.2,19.9
DISTRITO FEDERAL,13.3,13.9,16.9,18.0,18.5,17.3,16.5,16.7,16.2,16.0,14.1,13.6,15.9
DURANGO,11.8,12.0,15.9,20.3,22.5,22.9,21.5,21.2,20.0,18.5,14.1,10.8,17.6
GUANAJUATO,14.3,15.4,18.4,20.7,22.1,21.1,19.7,19.9,19.2,18.9,15.3,14.4,18.3
GUERRERO,23.4,24.4,25.8,27.4,27.9,26.3,25.7,25.8,25.2,25.3,23.4,23.1,25.3
HIDALGO,13.6,13.8,16.9,18.4,19.2,18.5,18.1,18.1,17.7,17.5,13.5,13.8,16.6
JALISCO,16.1,17.8,20.1,22.8,24.3,23.6,22.3,22.2,22.2,21.3,18.1,16.1,20.6
ESTADO DE MÉXICO,10.9,12.1,14.6,15.7,16.3,15.6,15.1,14.9,15.0,14.6,11.9,11.2,14.0
MICHOACÁN,14.9,16.5,19.0,21.3,22.3,21.1,20.0,19.7,19.3,19.1,16.4,15.2,18.7
MORELOS,18.8,20.4,22.8,24.5,24.5,22.3,21.9,22.1,21.3,21.0,18.6,18.0,21.3
NAYARIT,20.9,21.6,23.4,26.1,28.6,28.5,27.4,27.2,26.9,26.4,23.3,20.8,25.1
NUEVO LEÓN,13.1,13.3,16.8,19.8,20.5,20.5,19.9,20.0,18.7,18.3,14.3,12.8,17.3
OAXACA,19.3,19.4,21.9,23.5,24.0,22.8,22.6,22.6,22.8,22.7,19.8,20.9,21.9
PUEBLA,15.3,15.7,18.6,19.9,20.6,19.8,19.4,19.4,19.3,19.0,15.9,15.3,18.2
QUERÉTARO,14.5,14.9,18.0,19.5,20.4,19.4,18.4,18.9,18.4,18.5,15.4,14.6,17.6
QUINTANA ROO,23.4,24.0,25.2,26.8,27.8,27.6,28.0,27.7,27.3,26.8,24.8,23.4,26.1
SAN LUIS POTOSÍ,16.2,16.3,20.5,23.4,25.4,24.9,23.7,24.3,23.0,22.3,17.3,16.5,21.2
SINALOA,19.0,20.6,21.7,25.0,27.7,29.7,30.5,30.2,29.3,27.2,23.3,19.1,25.3
SONORA,14.1,16.2,17.6,22.5,24.9,29.9,30.2,29.7,29.1,22.6,19.1,14.0,22.5
TABASCO,23.9,22.4,26.5,29.1,29.4,29.0,28.7,28.6,29.8,29.3,24.8,23.7,27.1
TAMAULIPAS,17.5,17.2,21.8,25.8,27.7,28.2,27.0,28.2,26.2,25.0,18.5,17.1,23.4
TLAXCALA,11.7,12.1,15.2,16.0,16.5,15.9,15.5,15.1,15.6,15.1,12.3,11.6,14.4
VERACRUZ,19.1,18.6,22.5,25.6,26.6,26.1,25.5,25.8,25.3,24.7,20.7,19.7,23.4
YUCATÁN,22.6,23.5,25.4,27.4,28.4,27.3,27.2,27.6,26.8,26.3,24.3,23.0,25.8
ZACATECAS,12.0,12.9,16.5,20.0,21.8,21.1,19.5,19.4,18.9,17.8,14.0,11.6,17.1
NACIONAL,16.7,17.4,20.0,22.6,23.9,23.9,23.4,23.4,22.9,21.8,18.5,16.8,20.9
