ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.0,14.9,15.8,18.1,21.8,21.0,20.5,19.8,19.2,17.9,15.0,14.3,17.6
BAJA CALIFORNIA,13.8,15.2,16.1,18.6,21.1,23.6,26.2,26.7,23.7,19.4,16.1,13.9,19.5
BAJA CALIFORNIA SUR,17.4,18.8,19.3,21.3,23.8,25.9,28.0,28.3,26.1,24.3,20.9,17.7,22.7
CAMPECHE,23.5,24.4,25.2,27.2,28.0,27.4,27.1,26.8,27.4,25.9,24.6,24.0,26.0
COAHUILA,12.3,14.9,15.4,20.0,25.9,26.3,26.7,25.2,23.8,19.4,16.0,12.5,19.9
COLIMA,22.1,23.2,23.2,23.8,26.1,27.3,26.3,25.9,26.1,25.6,25.0,23.6,24.8
CHIAPAS,21.5,22.5,23.4,25.3,25.3,24.7,24.5,24.1,24.7,23.8,22.6,22.3,23.7
CHIHUAHUA,10.1,13.9,14.1,17.8,24.2,25.3,24.7,22.4,20.9,17.5,13.4,9.8,17.8
DISTRITO FEDERAL,12.0,13.6,15.8,16.3,17.7,15.9,16.0,15.8,16.0,14.5,13.0,12.8,14.9
DURANGO,11.4,14.4,14.6,17.5,22.9,22.8,22.6,20.9,20.0,16.3,13.9,10.8,17.3
GUANAJUATO,14.4,16.4,17.5,19.6,22.6,21.3,20.8,19.9,19.7,17.9,15.9,15.6,18.5
GUERRERO,22.6,24.3,25.2,26.5,27.3,26.0,25.6,25.2,25.4,24.7,24.0,23.5,25.0
HIDALGO,12.7,14.5,15.7,17.5,19.4,18.4,18.0,17.3,18.1,16.1,13.7,14.1,16.3
JALISCO,16.4,18.6,19.1,20.8,24.2,23.6,22.8,22.1,22.1,20.6,18.4,17.4,20.5
ESTADO DE MÉXICO,11.2,13.0,13.8,15.3,17.0,15.8,15.7,15.2,15.7,14.4,12.5,11.9,14.3
MICHOACÁN,15.7,17.9,18.9,20.4,23.3,21.8,20.9,20.5,20.6,19.4,17.7,16.9,19.5
MORELOS,18.2,19.9,21.3,23.2,24.5,22.5,22.1,21.9,22.2,21.4,20.0,19.3,21.4
NAYARIT,21.4,23.1,23.4,25.0,27.5,28.4,27.5,27.1,27.2,26.6,24.5,22.3,25.3
NUEVO LEÓN,13.0,15.6,16.0,20.4,25.1,25.5,26.0,24.4,23.8,20.5,17.1,14.4,20.1
OAXACA,18.6,20.1,21.3,22.9,23.8,22.7,22.2,22.1,22.7,21.8,20.5,19.8,21.6
PUEBLA,13.5,15.3,16.3,18.1,19.8,18.7,17.9,17.7,18.4,17.4,15.8,15.8,17.1
QUERÉTARO,14.0,16.0,17.2,19.7,22.5,21.1,20.9,20.1,19.7,17.7,16.0,14.8,18.3
QUINTANA ROO,22.4,23.0,23.9,26.2,27.0,27.4,27.3,26.9,27.5,26.2,24.2,23.0,25.4
SAN LUIS POTOSÍ,15.4,17.6,19.0,21.6,25.1,24.7,24.3,23.0,23.1,20.9,18.3,16.5,20.8
SINALOA,19.6,21.8,21.9,24.5,28.2,31.3,30.2,29.0,28.5,27.2,23.4,20.0,25.5
SONORA,15.2,17.8,18.6,21.7,25.8,30.3,29.8,29.0,26.7,23.4,18.7,15.0,22.7
TABASCO,22.7,24.4,25.2,27.9,29.4,29.1,28.8,28.6,29.5,27.5,25.6,24.5,26.9
TAMAULIPAS,16.0,18.7,19.9,23.8,27.8,28.4,28.7,27.1,26.6,23.8,20.8,18.0,23.3
TLAXCALA,11.4,13.1,13.8,15.3,17.0,15.4,15.3,14.8,15.8,14.4,12.1,11.7,14.2
VERACRUZ,17.9,19.5,20.4,23.4,26.0,25.3,24.9,24.1,25.0,23.3,20.7,19.5,22.5
YUCATÁN,22.9,23.4,24.7,27.1,27.7,27.9,27.7,27.3,28.1,26.5,25.1,23.9,26.0
ZACATECAS,12.0,14.8,15.0,17.4,22.2,21.5,21.0,19.7,19.0,16.4,13.8,12.7,17.1
NACIONAL,16.4,18.3,19.1,21.4,24.1,24.0,23.8,23.1,22.9,21.0,18.7,17.3,20.8
