ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1,16.0,17.7,21.1,21.4,21.7,20.9,19.9,19.4,18.1,14.6,12.5,18.0
BAJA CALIFORNIA,13.8,14.9,13.5,16.8,21.3,26.1,27.3,27.0,25.4,20.4,17.7,14.3,19.9
BAJA CALIFORNIA SUR,17.8,19.2,19.1,21.9,24.3,28.1,30.2,29.7,28.3,25.7,22.5,18.2,23.8
CAMPECHE,23.4,23.6,26.2,28.3,28.7,27.8,27.9,27.9,27.8,27.1,24.3,23.9,26.4
COAHUILA,14.3,15.5,20.0,24.6,25.9,28.4,28.3,28.5,25.6,22.7,18.2,12.7,22.1
COLIMA,25.2,25.1,24.8,25.7,26.8,29.0,28.3,27.9,27.2,27.4,26.4,24.9,26.6
CHIAPAS,24.2,23.9,24.7,27.1,27.1,25.9,26.1,26.5,26.4,26.2,24.0,23.5,25.5
CHIHUAHUA,11.4,14.4,15.7,20.1,23.0,25.0,24.2,22.8,21.3,18.8,14.7,9.8,18.4
DISTRITO FEDERAL,14.2,16.7,17.6,19.7,18.9,18.4,18.2,18.2,18.6,18.0,14.7,13.9,17.3
DURANGO,11.8,15.2,17.2,21.2,22.0,22.8,22.0,21.5,20.4,18.4,14.5,10.6,18.1
GUANAJUATO,15.5,18.1,19.9,22.8,22.4,22.1,21.5,20.9,20.8,19.7,16.9,14.8,19.6
GUERRERO,24.3,25.6,26.6,28.3,28.3,26.6,26.5,26.2,26.0,26.2,24.1,23.8,26.1
HIDALGO,14.0,16.1,16.6,18.5,19.0,19.7,19.8,19.8,20.0,18.8,15.6,14.3,17.7
JALISCO,16.4,20.0,21.2,23.6,23.6,24.4,23.1,22.6,22.3,21.6,18.8,16.6,21.2
ESTADO DE MÉXICO,11.7,13.8,16.2,17.8,17.6,17.2,16.2,16.0,16.4,15.7,12.4,11.2,15.2
MICHOACÁN,17.3,19.7,20.9,23.2,23.6,23.1,22.1,21.7,21.5,20.7,18.3,16.7,20.7
MORELOS,19.1,21.3,23.4,24.8,24.7,22.7,22.6,21.9,21.8,21.9,18.8,18.5,21.8
NAYARIT,21.8,23.5,23.8,26.3,28.0,30.0,28.7,28.0,27.7,27.6,25.1,22.5,26.1
NUEVO LEÓN,15.6,16.4,22.0,25.6,24.9,27.8,28.4,28.6,24.7,22.7,18.1,13.3,22.3
OAXACA,22.6,23.3,25.4,27.2,27.3,26.5,26.4,26.8,26.1,26.1,23.6,22.6,25.3
PUEBLA,15.3,16.3,16.3,19.1,19.1,19.3,19.0,19.0,19.2,18.8,15.8,14.6,17.6
QUERÉTARO,15.4,17.7,19.5,22.5,22.0,21.3,21.4,21.2,21.0,19.9,16.3,15.0,19.4
QUINTANA ROO,24.3,24.2,25.7,27.8,28.7,28.8,29.0,29.3,29.6,28.3,24.7,25.0,27.1
SAN LUIS POTOSÍ,17.3,19.3,22.5,26.3,26.3,26.5,25.7,25.9,25.4,23.1,19.4,16.7,22.9
SINALOA,19.9,21.9,22.0,24.8,27.2,31.1,30.4,29.5,28.8,27.7,24.5,19.7,25.6
SONORA,14.8,17.2,17.7,21.2,25.5,30.7,30.6,29.1,26.8,23.2,19.3,13.9,22.5
TABASCO,24.3,24.5,27.4,29.1,29.3,28.0,28.6,28.7,28.5,28.1,25.3,23.9,27.1
TAMAULIPAS,18.7,19.3,24.0,27.3,27.8,28.6,29.2,29.9,28.4,25.0,21.3,17.0,24.7
TLAXCALA,11.2,12.5,14.2,16.2,16.0,16.5,16.2,16.6,16.6,16.0,13.3,11.6,14.7
VERACRUZ,19.7,20.6,23.3,25.6,26.4,25.1,24.9,25.2,25.5,24.5,21.4,19.5,23.5
YUCATÁN,23.3,23.7,25.5,28.3,28.7,28.6,28.5,28.4,28.5,27.6,24.0,23.7,26.6
ZACATECAS,12.6,15.6,17.2,20.8,20.5,21.1,20.2,19.2,18.8,17.3,13.9,11.8,17.4
NACIONAL,17.6,19.2,20.9,23.5,24.3,25.0,24.8,24.5,23.9,22.6,19.5,17.2,21.9
