ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1,15.3,17.1,18.6,21.6,20.3,20.1,19.2,18.4,18.1,16.4,14.8,17.7
BAJA CALIFORNIA,13.8,13.6,15.7,17.3,18.8,23.0,24.8,26.5,24.9,19.9,14.2,12.5,18.8
BAJA CALIFORNIA SUR,17.3,17.1,19.1,20.8,22.1,25.4,27.7,28.1,28.0,24.5,20.5,17.2,22.3
CAMPECHE,23.8,25.2,26.0,28.1,28.5,27.9,27.8,27.5,26.7,26.7,25.3,24.3,26.5
COAHUILA,13.3,14.9,18.0,21.2,23.8,26.0,26.4,25.4,23.3,20.9,18.4,14.2,20.5
COLIMA,23.0,23.1,23.8,24.2,25.8,26.1,25.8,25.6,26.4,25.3,25.6,23.9,24.9
CHIAPAS,21.9,22.6,23.9,25.2,25.5,24.6,24.5,24.3,24.1,24.1,23.4,22.8,23.9
CHIHUAHUA,9.8,12.3,14.6,18.4,22.1,25.9,25.4,24.5,22.0,18.0,14.8,11.3,18.3
DISTRITO FEDERAL,13.3,15.4,17.3,17.5,18.4,17.5,17.0,16.9,16.4,16.8,15.1,14.2,16.3
DURANGO,11.3,13.9,15.6,18.2,22.0,22.9,22.8,21.8,20.2,17.8,16.5,13.4,18.1
GUANAJUATO,14.6,16.6,18.8,19.9,22.1,20.7,20.1,19.7,18.9,18.9,17.3,16.3,18.7
GUERRERO,23.4,24.1,25.4,26.3,27.6,26.1,25.7,25.1,25.1,25.3,24.9,24.3,25.3
HIDALGO,13.1,14.8,16.8,17.9,18.6,18.0,17.2,17.3,16.6,16.6,15.5,14.6,16.4
JALISCO,16.8,18.4,20.0,21.4,23.9,23.5,22.7,22.1,21.8,21.4,20.0,18.5,20.9
ESTADO DE MÉXICO,11.9,13.5,15.2,16.0,17.1,15.9,15.3,15.1,14.6,14.6,13.5,12.9,14.6
MICHOACÁN,16.5,18.3,20.0,21.2,23.1,21.5,20.9,20.3,20.2,20.2,19.1,18.2,20.0
MORELOS,19.5,21.4,23.4,24.2,24.9,22.8,22.7,22.2,22.0,21.9,20.9,20.5,22.2
NAYARIT,22.0,22.7,23.6,24.8,26.8,28.3,28.0,27.0,27.2,26.3,25.4,23.6,25.5
NUEVO LEÓN,13.3,14.8,17.9,20.7,23.2,25.2,25.6,24.4,22.5,20.9,19.2,15.4,20.3
OAXACA,20.4,21.1,22.0,23.5,24.0,23.4,23.0,22.6,23.1,22.6,22.1,21.5,22.5
PUEBLA,14.3,15.7,17.9,18.9,19.4,18.8,18.4,18.2,17.6,17.6,16.5,15.4,17.4
QUERÉTARO,15.1,17.3,19.2,20.1,21.6,20.0,20.1,19.5,18.8,18.7,17.7,16.4,18.7
QUINTANA ROO,23.2,24.6,24.8,26.3,27.8,27.8,27.8,27.8,27.1,27.0,25.3,23.8,26.1
SAN LUIS POTOSÍ,15.8,17.6,19.6,21.8,23.8,24.0,24.0,23.3,21.7,21.2,20.3,17.6,20.9
SINALOA,20.1,20.3,22.1,24.4,26.6,30.3,30.6,29.4,29.6,27.4,23.8,20.7,25.4
SONORA,14.9,15.3,18.3,21.2,24.2,30.0,30.5,29.6,28.2,23.4,17.9,14.6,22.3
TABASCO,23.7,25.1,26.5,28.3,29.8,29.5,29.3,28.5,28.0,28.0,26.3,25.1,27.3
TAMAULIPAS,17.0,18.3,20.8,23.4,26.7,27.8,28.6,27.2,25.4,24.0,22.8,19.4,23.4
TLAXCALA,11.9,13.4,15.5,16.0,16.7,15.4,15.3,14.9,14.5,15.1,13.8,13.2,14.6
VERACRUZ,18.6,19.8,21.6,24.1,25.6,25.8,25.0,24.3,23.6,23.6,22.4,20.6,22.9
YUCATÁN,23.6,24.7,25.3,26.9,27.6,27.2,27.2,27.1,26.8,26.3,25.2,23.8,26.0
ZACATECAS,12.4,14.7,16.4,18.1,21.7,20.8,20.5,19.6,18.5,17.7,16.4,14.2,17.6
NACIONAL,17.0,18.3,20.1,21.7,23.5,23.8,23.8,23.3,22.6,21.6,19.9,18.1,21.1
