ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.0,14.3,17.1,17.8,21.2,19.6,18.1,18.7,18.9,17.8,15.0,13.3,17.0
BAJA CALIFORNIA,11.1,12.0,13.3,17.8,19.0,22.8,26.0,25.8,21.8,19.5,14.2,12.9,18.0
BAJA CALIFORNIA SUR,15.7,16.3,18.9,20.6,22.8,25.1,27.9,28.6,27.5,24.1,20.2,17.9,22.1
CAMPECHE,22.9,24.4,26.8,27.2,28.4,28.0,27.6,27.7,27.2,26.5,25.6,24.3,26.4
COAHUILA,8.4,12.1,18.0,19.9,23.5,24.4,24.4,24.8,23.7,20.3,18.2,13.2,19.2
COLIMA,22.8,22.9,24.1,24.2,25.4,27.0,25.7,26.3,25.7,25.7,24.0,23.5,24.8
CHIAPAS,21.0,22.1,24.0,24.8,25.5,24.8,24.2,24.2,23.9,23.7,22.9,22.3,23.6
CHIHUAHUA,6.4,8.9,13.3,16.1,20.8,23.1,22.8,22.9,19.8,16.1,12.2,8.5,15.9
DISTRITO FEDERAL,13.0,14.2,16.7,15.8,17.6,17.2,16.1,16.8,16.5,16.0,14.5,13.4,15.6
DURANGO,9.4,11.7,16.0,16.9,21.5,22.0,20.1,21.0,19.9,17.5,14.1,11.1,16.8
GUANAJUATO,13.6,15.2,18.2,19.0,21.3,20.0,18.8,19.2,18.9,18.2,16.0,14.4,17.7
GUERRERO,22.9,23.3,25.0,25.9,26.7,25.4,24.3,24.3,24.3,24.6,23.7,23.4,24.5
HIDALGO,12.3,13.8,16.1,16.6,17.7,17.6,16.5,17.0,16.7,15.7,14.5,13.3,15.6
JALISCO,15.8,17.6,20.1,20.9,23.5,22.6,21.3,21.8,21.9,21.3,18.5,17.2,20.2
ESTADO DE MÉXICO,12.2,12.9,15.0,15.6,16.5,15.9,15.2,15.3,15.2,14.8,13.4,12.6,14.6
MICHOACÁN,17.3,18.3,20.6,21.6,22.9,22.0,20.8,20.9,20.8,20.1,18.0,17.2,20.0
MORELOS,19.1,20.1,22.3,23.6,24.2,22.3,21.2,21.9,21.0,20.8,19.4,19.0,21.2
NAYARIT,20.0,20.8,22.7,23.5,26.1,27.2,26.4,26.6,26.1,26.2,22.0,19.8,23.9
NUEVO LEÓN,10.8,13.6,18.9,20.7,23.7,24.7,25.1,25.9,24.5,21.3,18.7,13.3,20.1
OAXACA,19.5,20.1,21.5,23.1,23.2,22.7,22.1,22.1,22.3,21.8,20.8,19.9,21.6
PUEBLA,14.8,15.4,17.6,18.1,19.9,19.4,18.2,18.4,18.4,17.2,15.8,14.7,17.3
QUERÉTARO,13.5,15.1,18.5,19.1,20.4,19.6,19.5,19.4,18.9,18.1,16.2,14.4,17.7
QUINTANA ROO,21.9,23.4,25.2,25.9,27.1,27.9,27.6,27.2,26.8,26.0,24.9,23.6,25.6
SAN LUIS POTOSÍ,13.9,16.0,20.2,20.9,23.5,22.9,21.9,23.0,22.6,21.2,19.2,15.9,20.1
SINALOA,17.8,18.8,21.1,23.4,26.3,28.7,28.3,28.6,27.5,26.1,22.2,19.8,24.1
SONORA,13.0,14.2,17.0,21.1,24.2,28.6,29.5,28.9,26.0,22.4,17.1,14.5,21.4
TABASCO,22.5,24.1,26.9,27.7,29.1,28.8,28.2,28.5,28.1,27.4,26.2,24.2,26.8
TAMAULIPAS,14.0,16.8,22.4,24.1,26.6,26.9,26.8,28.0,27.1,24.9,22.6,17.2,23.1
TLAXCALA,11.0,11.7,13.7,14.2,15.2,14.9,14.0,14.5,14.3,13.8,12.3,11.3,13.4
VERACRUZ,17.7,18.9,22.2,23.8,25.5,25.2,24.1,24.5,24.3,23.3,21.9,19.6,22.6
YUCATÁN,22.5,24.2,25.8,26.2,27.4,28.0,27.4,27.5,27.0,26.3,24.9,23.4,25.9
ZACATECAS,11.4,13.8,16.8,17.7,21.3,20.2,18.8,19.4,19.4,18.1,15.1,13.3,17.1
NACIONAL,15.6,17.1,19.9,21.0,23.1,23.3,22.8,23.1,22.4,21.1,18.9,16.9,20.4
