ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.0,12.6,16.2,19.1,22.1,22.5,20.7,19.8,19.4,17.8,16.0,13.3,17.6
BAJA CALIFORNIA,13.1,12.5,14.6,15.5,17.7,21.0,25.3,27.0,23.5,19.0,15.3,11.9,18.0
BAJA CALIFORNIA SUR,17.1,16.5,18.6,19.6,22.5,26.9,28.9,29.1,27.2,24.7,20.2,16.4,22.3
CAMPECHE,23.8,24.4,25.6,28.0,29.1,29.4,27.6,27.6,27.7,26.3,25.0,23.4,26.5
COAHUILA,13.3,13.6,16.2,20.7,25.8,28.0,27.2,25.3,23.6,20.4,17.0,12.9,20.3
COLIMA,22.3,22.1,23.6,24.5,25.9,27.9,27.2,27.4,25.9,26.4,26.2,24.8,25.4
CHIAPAS,22.3,22.7,24.1,25.6,26.1,25.9,24.6,24.9,24.3,23.7,23.3,21.7,24.1
CHIHUAHUA,9.5,9.1,13.0,16.3,21.6,25.4,24.7,23.3,22.4,19.0,14.2,10.3,17.4
DISTRITO FEDERAL,12.8,14.0,16.6,19.3,20.6,19.5,17.7,17.0,16.5,15.6,15.5,13.5,16.5
DURANGO,10.5,11.3,14.4,17.9,22.4,24.0,22.9,21.2,20.2,18.8,15.4,12.1,17.6
GUANAJUATO,14.2,14.7,18.1,20.9,23.0,22.9,20.8,20.0,19.8,18.1,17.2,15.0,18.7
GUERRERO,22.8,23.1,25.1,26.5,27.1,27.2,25.9,25.6,24.9,25.0,24.9,23.8,25.2
HIDALGO,13.0,14.3,16.4,19.4,20.3,20.1,18.3,17.8,17.7,15.8,15.6,13.2,16.8
JALISCO,15.8,15.8,19.2,21.5,23.9,25.1,23.2,22.5,22.2,21.6,20.1,17.9,20.7
ESTADO DE MÉXICO,11.2,11.9,14.7,17.4,18.4,18.1,16.3,15.8,15.7,14.6,14.0,12.0,15.0
MICHOACÁN,15.8,16.2,19.6,21.6,23.6,23.8,21.6,20.9,20.9,20.1,19.2,17.1,20.0
MORELOS,18.3,19.1,22.1,25.2,25.4,25.2,23.1,22.4,22.0,21.8,21.2,19.1,22.1
NAYARIT,20.6,19.8,22.2,24.1,26.2,29.5,27.7,27.4,27.2,27.1,24.6,22.5,24.9
NUEVO LEÓN,15.1,15.5,17.6,21.5,26.1,27.8,27.1,26.4,24.2,21.0,18.7,14.3,21.3
OAXACA,19.9,20.6,22.6,24.3,25.2,25.1,23.2,22.9,22.3,21.6,21.3,19.9,22.4
PUEBLA,14.2,15.3,17.4,20.3,21.6,21.3,18.9,19.0,18.8,17.1,16.5,14.5,17.9
QUERÉTARO,14.9,15.4,17.8,20.6,22.9,22.8,20.9,20.0,19.9,17.5,17.2,14.5,18.7
QUINTANA ROO,23.4,23.8,24.1,26.6,27.8,28.3,27.4,27.5,27.8,26.3,24.7,23.0,25.9
SAN LUIS POTOSÍ,16.8,17.8,19.6,22.9,26.0,26.9,24.7,24.3,23.4,20.9,20.3,16.9,21.7
SINALOA,19.5,18.6,20.9,22.8,26.4,30.9,30.1,29.5,29.2,28.2,23.5,19.6,24.9
SONORA,14.7,13.6,16.9,19.1,23.6,28.5,30.7,30.0,29.2,24.9,19.1,14.1,22.0
TABASCO,24.8,25.5,26.8,28.6,30.5,31.3,29.0,28.8,29.0,27.6,26.8,24.8,27.8
TAMAULIPAS,19.5,20.1,21.3,24.8,28.6,30.4,29.2,28.6,27.1,23.8,22.3,18.0,24.5
TLAXCALA,11.2,12.2,14.5,17.9,18.6,18.2,16.4,16.1,16.1,14.6,14.1,12.4,15.2
VERACRUZ,20.2,21.2,22.0,24.4,27.0,27.9,25.4,25.3,25.0,23.2,22.3,19.6,23.6
YUCATÁN,23.7,24.4,25.0,28.1,29.6,29.8,28.6,28.5,28.4,27.4,25.5,23.8,26.9
ZACATECAS,11.2,11.4,15.3,18.4,22.2,23.5,21.5,20.5,19.4,18.5,16.0,13.6,17.6
NACIONAL,16.8,17.2,19.4,22.0,24.3,25.5,24.3,23.8,23.1,21.5,19.8,17.2,21.2
