ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.7,15.1,16.6,19.9,22.3,21.6,20.2,19.4,19.3,17.2,15.9,11.8,17.7
BAJA CALIFORNIA,14.0,12.2,14.8,14.1,17.8,20.7,25.1,26.1,24.6,19.6,14.8,11.8,18.0
BAJA CALIFORNIA SUR,18.4,18.3,18.9,20.5,22.6,24.0,27.6,28.3,27.2,25.1,21.0,17.1,22.4
CAMPECHE,21.1,25.3,26.6,27.1,30.1,28.7,27.5,27.2,27.2,25.9,24.2,20.9,26.0
COAHUILA,13.6,16.0,18.2,22.6,27.3,27.5,26.2,26.2,24.4,20.8,18.7,12.1,21.1
COLIMA,25.5,24.7,24.2,26.3,27.0,27.1,27.8,27.2,27.2,26.1,26.8,24.3,26.2
CHIAPAS,21.6,23.2,24.6,25.5,26.1,24.8,24.7,24.7,24.6,24.2,23.4,21.1,24.1
CHIHUAHUA,11.2,12.3,14.4,19.1,23.6,25.5,24.9,24.9,22.6,18.5,15.9,10.9,18.6
DISTRITO FEDERAL,13.0,15.9,16.9,17.9,19.3,17.3,17.0,16.6,16.7,16.2,15.3,12.4,16.2
DURANGO,11.6,13.0,15.0,18.8,22.9,22.7,21.6,21.5,20.0,18.0,16.2,11.4,17.7
GUANAJUATO,14.1,16.4,18.1,20.8,22.8,21.2,19.5,19.2,19.4,18.2,16.8,13.3,18.3
GUERRERO,23.6,24.2,24.6,26.6,27.3,25.5,25.4,25.1,25.3,24.8,24.4,22.7,24.9
HIDALGO,12.5,16.0,17.4,19.0,20.7,19.3,18.2,18.2,18.3,16.7,15.3,12.5,17.0
JALISCO,16.8,18.2,19.4,22.4,24.5,23.8,22.3,21.9,21.8,20.4,19.4,16.1,20.6
ESTADO DE MÉXICO,10.8,12.9,14.3,16.4,17.6,16.1,15.7,15.7,16.2,15.5,14.3,11.1,14.7
MICHOACÁN,14.7,16.1,17.5,20.2,22.3,20.0,18.8,18.5,18.8,17.7,16.6,13.3,17.9
MORELOS,18.7,20.5,22.2,24.7,25.5,22.8,22.1,21.9,21.6,21.4,20.2,17.4,21.6
NAYARIT,21.3,21.2,22.3,24.8,26.7,27.7,26.7,26.3,26.1,25.1,24.1,20.3,24.4
NUEVO LEÓN,11.9,14.2,16.2,18.7,21.2,20.5,19.3,18.8,17.8,16.3,14.8,11.6,16.8
OAXACA,20.1,21.9,23.1,24.5,25.3,23.7,23.1,23.5,23.5,23.0,23.4,21.1,23.0
PUEBLA,12.8,16.0,17.5,20.2,21.9,20.9,18.8,18.9,18.5,17.3,15.5,12.5,17.6
QUERÉTARO,14.5,16.6,17.6,19.2,21.9,19.5,21.0,21.0,20.6,18.4,17.8,14.0,18.5
QUINTANA ROO,20.9,24.4,26.0,25.7,27.9,27.5,27.2,27.2,27.1,26.5,24.6,21.7,25.6
SAN LUIS POTOSÍ,15.2,18.8,21.3,23.4,26.7,25.5,23.5,23.9,23.3,21.1,19.3,15.3,21.4
SINALOA,21.6,20.9,21.2,24.2,27.4,29.7,30.0,29.4,28.7,27.4,24.0,19.6,25.3
SONORA,17.0,15.8,17.5,20.5,25.5,29.0,31.0,29.9,28.6,25.4,18.6,14.8,22.8
TABASCO,22.1,25.5,28.2,28.0,30.8,29.1,28.4,28.3,28.6,26.9,25.6,21.6,26.9
TAMAULIPAS,16.0,19.1,22.4,24.7,29.0,28.6,26.7,27.2,26.3,23.7,21.8,17.4,23.6
TLAXCALA,11.6,13.6,14.9,16.9,17.9,16.6,15.4,15.6,15.9,14.8,13.6,10.3,14.8
VERACRUZ,18.1,21.3,23.8,25.3,28.3,26.7,25.3,25.4,25.2,23.6,21.7,18.4,23.6
YUCATÁN,20.4,25.3,27.6,26.2,30.3,30.0,27.6,28.2,28.2,27.0,25.1,21.2,26.4
ZACATECAS,12.1,14.1,15.6,18.9,22.1,21.2,19.1,18.9,18.6,16.4,15.2,10.9,16.9
NACIONAL,16.5,18.4,20.0,22.0,24.4,23.9,23.4,23.3,22.9,21.2,19.5,16.0,21.0
