ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,14.1,14.5,15.4,18.2,20.8,21.4,20.0,19.0,17.8,16.9,15.5,11.8,17.1
BAJA CALIFORNIA,11.5,13.3,16.4,19.2,19.5,22.7,25.3,24.3,23.7,19.2,16.5,14.0,18.8
BAJA CALIFORNIA SUR,14.6,17.2,19.0,21.6,23.0,24.4,27.5,27.8,27.9,25.1,20.9,17.3,22.2
CAMPECHE,24.2,24.0,25.4,27.3,28.5,28.8,27.7,27.7,27.1,26.0,25.6,22.7,26.2
COAHUILA,14.1,14.3,17.1,20.9,24.3,25.0,24.8,24.2,22.1,19.2,16.2,10.3,19.4
COLIMA,23.0,23.0,22.0,23.6,24.9,25.9,25.7,25.8,25.1,25.3,24.9,22.5,24.3
CHIAPAS,22.0,21.4,22.2,24.7,25.4,24.7,24.4,24.3,23.5,23.1,23.1,21.2,23.3
CHIHUAHUA,9.2,12.2,14.7,18.9,21.7,24.9,24.1,22.5,20.9,17.4,12.5,8.0,17.3
DISTRITO FEDERAL,14.2,13.5,14.3,15.6,18.2,18.0,16.4,16.3,15.3,14.9,14.9,12.7,15.4
DURANGO,12.3,14.0,14.6,18.3,20.9,22.7,21.7,20.7,19.1,16.8,13.7,10.2,17.1
GUANAJUATO,15.7,15.6,16.6,19.4,21.8,21.8,20.1,19.3,18.2,17.2,17.0,13.8,18.1
GUERRERO,23.8,24.2,24.4,26.2,27.3,26.3,25.3,25.1,24.5,24.3,24.5,23.2,24.9
HIDALGO,14.1,13.7,15.1,16.7,18.8,18.7,17.7,17.6,16.5,15.1,15.6,12.8,16.0
JALISCO,17.4,18.1,18.4,21.2,23.2,24.1,22.3,21.7,20.9,20.3,18.7,15.8,20.2
ESTADO DE MÉXICO,12.8,12.9,13.8,15.4,16.9,16.9,15.8,15.8,15.2,14.3,14.2,12.2,14.7
MICHOACÁN,17.6,17.9,18.6,20.8,22.8,22.7,21.2,20.9,20.2,19.3,19.3,16.7,19.8
MORELOS,19.7,19.7,20.9,23.0,24.1,23.0,21.6,21.3,21.2,20.4,20.5,18.8,21.2
NAYARIT,20.8,22.4,22.2,24.8,26.0,27.8,27.0,26.7,27.0,26.3,23.6,20.9,24.6
NUEVO LEÓN,14.5,13.9,17.5,21.0,24.9,25.6,25.1,24.4,22.2,19.5,16.7,10.0,19.6
OAXACA,21.3,20.8,21.3,23.6,24.5,23.3,22.9,22.9,22.2,21.7,21.9,20.3,22.2
PUEBLA,15.3,15.2,16.7,18.6,19.9,19.6,18.2,18.3,17.7,16.9,16.9,15.0,17.4
QUERÉTARO,15.4,14.9,16.3,18.5,20.7,20.1,18.8,18.5,17.5,16.3,16.7,13.6,17.3
QUINTANA ROO,23.7,23.1,24.3,26.2,27.3,28.2,27.8,27.5,27.1,25.8,25.6,22.5,25.8
SAN LUIS POTOSÍ,17.9,16.7,19.0,22.1,24.7,24.9,23.9,23.1,21.6,19.9,18.8,13.3,20.5
SINALOA,17.9,20.4,21.6,24.9,26.4,29.0,29.6,28.1,28.4,27.0,22.9,19.3,24.6
SONORA,12.6,16.2,19.0,23.2,25.2,28.7,30.4,28.2,28.3,24.0,18.7,14.5,22.4
TABASCO,24.8,24.6,25.2,27.8,29.1,29.2,28.7,28.6,27.1,26.2,26.2,22.7,26.7
TAMAULIPAS,19.5,17.6,21.0,24.5,28.0,28.7,28.0,27.3,25.6,23.2,21.6,12.8,23.2
TLAXCALA,11.8,11.7,12.6,13.8,15.5,15.1,14.2,14.4,13.9,12.7,13.1,10.8,13.3
VERACRUZ,20.2,19.1,20.8,23.5,25.6,25.5,24.3,24.4,23.3,22.3,21.9,17.3,22.4
YUCATÁN,24.0,23.8,24.6,26.3,28.2,28.7,28.0,27.8,27.0,25.6,25.3,22.4,26.0
ZACATECAS,13.7,14.7,15.5,18.6,20.9,22.2,20.6,19.5,18.6,17.2,15.2,11.5,17.4
NACIONAL,17.3,17.7,19.0,21.5,23.4,24.0,23.4,22.9,22.1,20.6,19.3,16.0,20.6
