ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,12.4,14.0,14.7,19.6,20.8,19.7,18.7,19.5,19.2,16.8,15.7,13.0,17.0
BAJA CALIFORNIA,14.6,14.1,16.1,17.6,19.3,23.0,24.7,26.4,21.2,18.6,16.2,12.7,18.7
BAJA CALIFORNIA SUR,18.5,18.2,19.8,23.4,22.8,25.0,27.6,28.4,26.8,23.5,21.3,17.7,22.8
CAMPECHE,22.4,24.9,25.1,27.8,28.7,27.9,27.5,27.8,27.6,26.7,26.1,24.5,26.4
COAHUILA,12.1,15.7,17.7,21.9,23.5,23.7,24.3,25.2,23.1,19.0,16.3,12.2,19.6
COLIMA,22.5,22.2,22.3,24.8,25.9,26.5,25.9,26.8,26.4,25.0,25.8,24.1,24.8
CHIAPAS,20.8,22.6,22.5,24.8,25.3,24.6,24.2,24.4,24.4,23.8,23.6,22.6,23.6
CHIHUAHUA,8.7,11.1,13.2,18.3,20.5,22.9,22.2,22.6,20.5,16.1,11.8,7.3,16.3
DISTRITO FEDERAL,11.9,14.5,15.1,17.8,18.1,17.6,16.7,17.1,17.3,16.3,15.5,13.8,16.0
DURANGO,10.3,12.6,14.1,18.7,20.6,21.4,20.4,21.1,20.0,17.2,14.4,10.3,16.8
GUANAJUATO,13.0,15.2,15.9,20.4,21.5,20.0,19.2,19.3,19.5,17.6,16.7,14.6,17.7
GUERRERO,22.5,23.6,24.0,26.5,26.5,25.5,24.9,25.2,24.9,25.0,24.9,23.4,24.7
HIDALGO,10.9,14.0,14.0,17.9,18.5,17.8,16.6,17.0,17.1,15.9,14.6,13.5,15.6
JALISCO,16.5,17.3,18.5,22.3,23.6,22.7,21.7,22.1,22.0,20.3,19.6,17.1,20.3
ESTADO DE MÉXICO,11.4,13.0,13.6,16.6,17.0,16.2,15.3,15.6,15.9,15.1,14.4,12.6,14.7
MICHOACÁN,16.1,17.2,18.2,22.0,22.7,21.4,20.3,20.5,20.7,19.5,19.2,17.2,19.6
MORELOS,17.4,19.6,20.3,23.5,23.6,22.2,21.6,21.8,21.5,21.4,21.2,19.4,21.1
NAYARIT,21.0,21.0,21.9,25.5,26.1,27.3,27.0,26.9,26.8,25.5,24.6,21.4,24.6
NUEVO LEÓN,13.2,16.1,18.0,22.2,23.5,23.8,24.5,25.4,23.7,19.8,16.1,12.2,19.9
OAXACA,18.5,20.6,20.6,23.3,23.5,22.6,22.2,22.5,22.1,21.7,21.2,20.0,21.6
PUEBLA,13.2,15.7,16.0,19.0,19.6,18.8,17.9,18.3,18.4,17.5,16.6,15.0,17.2
QUERÉTARO,12.5,16.4,16.2,20.5,21.0,20.0,20.0,19.7,19.5,17.6,16.7,14.5,17.9
QUINTANA ROO,22.1,23.7,24.1,25.5,26.9,27.2,27.0,27.1,26.8,25.8,25.5,24.1,25.5
SAN LUIS POTOSÍ,14.6,17.7,18.8,22.7,24.0,23.2,22.7,24.0,22.8,20.6,18.9,16.1,20.5
SINALOA,20.1,20.0,21.5,25.4,26.3,28.7,28.7,28.6,28.0,26.0,23.2,19.4,24.7
SONORA,16.6,16.2,18.9,22.6,24.5,28.9,28.3,29.1,26.5,22.2,18.2,13.7,22.1
TABASCO,22.0,25.3,24.8,28.2,29.1,28.7,28.2,28.3,28.0,27.1,26.2,24.4,26.7
TAMAULIPAS,16.7,20.0,22.0,25.7,26.7,27.6,27.3,28.3,27.0,23.5,20.4,16.5,23.5
TLAXCALA,9.8,11.8,11.9,15.2,16.0,15.6,14.5,14.9,15.0,13.8,13.3,11.7,13.6
VERACRUZ,17.6,20.8,20.7,24.5,25.3,24.8,23.7,24.3,23.8,22.5,21.1,18.7,22.3
YUCATÁN,21.7,23.9,24.7,26.7,28.1,27.9,27.5,27.6,27.0,26.5,25.9,24.2,26.0
ZACATECAS,12.5,13.9,15.0,19.7,21.3,20.5,19.4,19.9,19.5,17.3,15.2,12.6,17.2
NACIONAL,16.1,17.9,18.7,22.2,23.1,23.2,22.8,23.3,22.6,20.8,19.4,16.9,20.6
