ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1,14.5,16.3,16.6,19.2,21.5,20.4,20.3,19.6,17.1,15.6,11.6,17.2
BAJA CALIFORNIA,13.4,13.4,16.9,16.8,21.9,21.8,24.5,26.8,25.7,20.6,16.8,12.6,19.3
BAJA CALIFORNIA SUR,16.1,16.6,19.9,19.5,24.0,25.5,28.6,29.4,28.4,25.0,21.4,16.8,22.6
CAMPECHE,23.4,25.2,26.9,27.7,28.1,27.6,27.2,27.1,26.8,25.9,25.3,23.2,26.2
COAHUILA,10.7,13.3,16.9,17.4,22.2,25.0,25.8,25.9,23.5,18.8,15.4,10.3,18.8
COLIMA,22.1,23.3,24.2,24.7,27.1,27.2,27.3,27.3,26.5,25.7,25.3,23.3,25.3
CHIAPAS,22.2,22.9,24.3,24.8,25.1,24.6,24.5,24.8,24.4,23.5,23.4,21.8,23.9
CHIHUAHUA,8.7,10.1,14.6,14.9,20.8,24.2,24.2,23.6,22.5,17.0,13.2,7.0,16.7
DISTRITO FEDERAL,12.7,15.5,16.4,16.8,17.0,17.9,17.0,16.9,16.8,15.5,14.7,13.7,15.9
DURANGO,10.3,12.7,15.4,15.7,19.3,22.3,21.7,21.8,20.3,16.3,14.1,9.1,16.6
GUANAJUATO,14.2,16.3,18.0,18.4,20.2,21.7,20.7,20.4,20.0,17.6,17.1,14.4,18.3
GUERRERO,23.2,24.5,25.6,26.1,27.1,26.4,26.0,26.0,25.4,24.6,24.5,23.6,25.2
HIDALGO,12.6,14.5,16.0,16.6,17.0,18.3,17.5,17.5,16.9,15.4,15.0,13.1,15.9
JALISCO,15.6,17.8,19.5,19.7,22.5,24.0,22.8,22.7,22.5,20.4,19.0,15.9,20.2
ESTADO DE MÉXICO,11.0,13.3,14.5,15.0,15.4,16.6,15.9,15.7,15.5,14.2,13.5,12.1,14.4
MICHOACÁN,15.6,18.1,19.2,19.7,21.6,22.3,21.2,20.9,20.9,19.5,18.9,16.7,19.6
MORELOS,18.4,20.6,22.3,22.9,23.4,23.5,22.3,22.6,22.0,21.2,20.7,19.3,21.6
NAYARIT,19.8,21.3,23.3,23.7,27.6,28.9,27.9,27.7,27.7,26.3,23.5,20.5,24.9
NUEVO LEÓN,12.2,14.8,18.3,18.1,22.0,24.8,26.1,26.1,24.2,19.7,16.3,12.4,19.6
OAXACA,19.3,20.2,22.1,22.6,22.9,23.1,22.6,22.6,22.0,21.2,20.7,19.4,21.6
PUEBLA,15.0,16.4,18.2,18.2,18.4,19.7,18.8,18.9,18.3,17.0,16.5,14.8,17.5
QUERÉTARO,14.2,16.5,17.8,18.7,19.9,21.7,20.6,20.5,20.1,17.7,17.7,14.7,18.3
QUINTANA ROO,22.8,24.2,25.6,26.9,27.8,27.8,27.6,27.9,27.1,26.2,25.5,23.4,26.1
SAN LUIS POTOSÍ,15.5,17.5,20.0,20.3,22.6,24.5,23.8,24.3,22.9,20.2,19.3,14.9,20.5
SINALOA,18.2,19.3,23.0,23.1,27.7,30.4,30.1,29.7,29.6,26.8,23.5,18.6,25.0
SONORA,14.0,14.7,19.7,20.0,26.5,28.8,30.6,30.1,29.1,23.8,18.9,12.7,22.4
TABASCO,23.8,25.0,27.6,28.8,28.8,29.0,28.3,28.6,28.0,26.7,26.0,23.6,27.0
TAMAULIPAS,15.9,19.1,22.2,21.7,25.4,27.8,28.2,28.6,26.9,23.2,20.4,16.2,23.0
TLAXCALA,10.9,12.7,13.9,14.5,14.7,16.0,15.3,15.4,15.2,13.8,13.6,12.4,14.0
VERACRUZ,18.7,19.9,22.3,23.3,24.4,25.9,24.7,25.1,24.3,22.6,21.8,18.7,22.6
YUCATÁN,23.6,24.9,26.6,27.8,28.1,28.1,27.7,27.6,27.3,26.3,25.3,23.3,26.4
ZACATECAS,10.9,13.3,15.5,15.7,19.2,21.5,20.6,20.6,19.6,16.9,15.3,10.8,16.7
NACIONAL,16.2,17.9,20.1,20.5,22.7,24.0,23.8,23.9,23.1,20.8,19.3,16.3,20.7
