ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.0,15.4,17.2,19.3,21.9,21.5,19.5,19.2,18.5,16.9,15.6,13.3,17.6
BAJA CALIFORNIA,12.7,15.8,16.1,16.7,18.1,21.4,25.4,26.8,25.2,20.7,18.0,13.9,19.2
BAJA CALIFORNIA SUR,16.3,19.3,19.7,20.3,22.0,24.8,28.4,28.6,28.2,24.5,22.1,18.3,22.7
CAMPECHE,24.3,24.6,26.3,28.2,29.2,27.7,27.2,27.4,27.0,25.7,25.3,24.6,26.5
COAHUILA,12.8,15.6,17.2,20.7,25.5,26.0,26.3,25.8,23.9,20.2,16.8,13.0,20.3
COLIMA,23.6,24.3,23.8,24.0,26.1,27.2,26.5,26.2,26.0,25.7,25.0,23.2,25.1
CHIAPAS,22.5,23.0,24.1,25.7,25.9,25.1,24.5,24.5,24.2,23.5,23.5,22.6,24.1
CHIHUAHUA,9.9,13.1,15.0,17.6,22.0,24.9,24.9,24.4,21.8,18.3,14.2,10.5,18.0
DISTRITO FEDERAL,13.4,14.4,16.1,17.5,18.8,17.6,16.9,17.0,16.8,15.8,15.1,13.4,16.1
DURANGO,11.6,14.1,15.7,17.9,22.2,23.5,22.5,21.8,20.6,17.7,15.3,11.8,17.9
GUANAJUATO,15.2,16.9,18.3,20.3,22.3,21.5,20.0,19.9,19.5,17.8,17.1,15.2,18.7
GUERRERO,23.8,24.9,25.8,26.8,27.4,26.7,25.5,25.4,25.4,25.2,24.9,23.6,25.4
HIDALGO,14.0,15.0,16.8,18.7,20.2,19.1,17.7,18.1,17.7,15.9,15.5,13.9,16.9
JALISCO,17.1,19.2,20.0,21.3,24.0,24.1,22.7,22.3,22.2,20.8,19.6,16.8,20.8
ESTADO DE MÉXICO,12.0,13.0,14.5,16.1,17.3,16.4,15.1,15.5,15.2,13.7,13.3,11.7,14.5
MICHOACÁN,17.2,18.6,20.0,21.5,23.2,22.3,20.6,20.7,20.6,19.1,18.6,16.8,19.9
MORELOS,20.1,21.4,23.0,24.2,24.5,23.5,22.0,22.2,22.2,21.7,21.1,19.3,22.1
NAYARIT,21.9,23.8,23.5,24.5,26.8,28.6,27.9,27.5,27.7,27.1,25.3,21.9,25.5
NUEVO LEÓN,13.5,16.4,17.8,21.0,24.7,24.5,25.1,24.1,22.9,19.7,16.8,13.7,20.0
OAXACA,19.5,20.3,21.5,23.2,24.0,22.8,22.1,21.9,21.9,21.6,20.7,19.6,21.6
PUEBLA,15.3,16.1,17.3,19.6,21.1,19.7,18.2,18.4,17.9,17.2,16.3,14.8,17.7
QUERÉTARO,15.5,17.3,18.9,20.5,22.6,21.5,19.8,19.4,19.1,17.6,16.8,14.3,18.6
QUINTANA ROO,23.0,23.3,24.8,27.3,28.6,28.0,27.7,28.0,27.5,26.1,24.7,23.6,26.1
SAN LUIS POTOSÍ,16.3,18.6,20.3,22.8,26.4,25.0,23.8,23.4,23.2,21.1,19.2,16.3,21.4
SINALOA,19.1,22.3,22.5,23.1,26.1,29.8,31.1,30.1,29.2,27.6,24.7,20.2,25.5
SONORA,13.7,17.4,18.3,19.6,22.8,27.6,30.6,30.3,28.4,24.3,19.9,15.4,22.4
TABASCO,24.2,24.8,26.8,29.0,31.0,29.6,28.7,29.0,27.9,26.5,26.7,24.8,27.4
TAMAULIPAS,17.6,20.0,21.4,25.0,28.8,28.0,27.9,27.0,26.5,23.7,20.5,17.8,23.7
TLAXCALA,12.5,13.2,15.0,16.5,17.5,16.8,15.4,15.8,15.2,14.2,13.5,11.8,14.8
VERACRUZ,19.5,20.7,22.2,24.7,27.5,25.9,24.5,24.8,24.4,23.1,21.5,19.7,23.2
YUCATÁN,23.7,24.2,25.4,27.5,29.0,28.2,27.5,27.7,27.6,26.2,25.0,24.1,26.3
ZACATECAS,12.3,14.8,16.3,17.9,22.0,22.3,20.2,19.8,19.6,17.1,15.6,12.4,17.5
NACIONAL,17.1,18.8,20.1,21.8,24.0,24.1,23.6,23.5,22.9,21.1,19.6,17.3,21.2
