ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1,14.2,15.3,17.8,19.5,21.1,19.6,19.5,18.7,17.8,15.9,14.0,17.2
BAJA CALIFORNIA,13.3,13.6,16.2,18.0,19.8,21.9,23.1,24.5,23.3,20.7,16.4,13.9,18.7
BAJA CALIFORNIA SUR,17.6,16.9,19.4,21.1,22.1,24.9,27.0,28.0,26.5,25.2,20.7,18.1,22.3
CAMPECHE,24.4,24.5,25.2,27.1,27.4,27.5,27.3,26.8,26.7,26.5,25.2,24.2,26.1
COAHUILA,13.2,14.4,16.6,20.2,22.9,24.8,25.7,25.7,22.9,19.8,15.7,14.4,19.7
COLIMA,23.2,23.2,23.5,24.4,25.1,26.0,26.3,26.4,26.0,26.4,25.3,24.2,25.0
CHIAPAS,22.1,22.6,23.7,25.4,25.7,25.1,24.5,24.2,24.1,23.8,23.0,22.1,23.9
CHIHUAHUA,10.7,11.0,13.4,17.1,20.7,24.8,23.7,23.8,20.7,16.8,12.6,10.9,17.2
DISTRITO FEDERAL,14.3,15.0,16.1,17.4,17.2,17.4,16.9,16.8,16.1,16.1,15.3,13.4,16.0
DURANGO,12.1,13.0,14.9,18.0,19.9,22.7,21.8,21.9,19.1,17.1,14.4,12.7,17.3
GUANAJUATO,14.8,15.7,17.0,19.4,20.5,21.1,19.6,19.9,18.9,18.1,16.9,14.8,18.0
GUERRERO,23.3,24.2,25.0,26.1,27.4,26.6,25.1,25.3,24.7,25.2,24.6,23.7,25.1
HIDALGO,14.1,14.7,15.6,17.6,17.8,18.2,17.6,17.4,16.7,16.0,14.9,13.8,16.2
JALISCO,16.7,17.3,18.5,20.7,22.0,23.9,21.8,21.9,21.5,21.1,19.3,17.5,20.2
ESTADO DE MÉXICO,12.4,13.0,13.9,15.5,16.0,16.4,15.3,15.3,15.0,14.3,13.5,12.0,14.4
MICHOACÁN,16.9,17.4,18.6,20.8,21.9,22.5,20.4,20.5,20.1,19.8,18.9,17.1,19.6
MORELOS,19.7,20.7,22.0,23.5,24.6,24.4,22.4,22.8,22.1,22.0,21.0,19.5,22.1
NAYARIT,21.2,21.3,22.3,24.2,25.6,27.9,27.1,27.1,26.7,26.5,24.3,22.9,24.8
NUEVO LEÓN,13.5,15.4,17.3,20.8,22.4,23.8,25.2,25.2,22.8,19.7,15.8,14.8,19.7
OAXACA,20.0,20.7,21.7,23.1,23.5,22.9,22.0,21.8,21.7,21.4,20.9,19.9,21.6
PUEBLA,15.4,15.8,17.0,18.8,19.3,19.3,18.1,18.0,17.7,17.5,16.0,14.7,17.3
QUERÉTARO,15.5,16.4,17.1,19.2,20.0,20.2,19.8,19.7,19.1,18.3,16.8,14.9,18.1
QUINTANA ROO,23.4,23.1,23.9,25.5,26.6,26.7,27.2,27.0,26.6,26.4,24.9,23.2,25.4
SAN LUIS POTOSÍ,16.9,17.9,19.3,21.8,22.9,23.2,23.1,23.2,22.0,20.5,18.0,16.5,20.5
SINALOA,20.3,20.0,21.6,23.8,26.3,30.0,29.6,29.3,28.1,27.1,23.0,21.1,25.0
SONORA,15.2,15.0,18.0,21.1,24.7,28.5,28.9,29.2,27.1,23.9,18.0,15.4,22.1
TABASCO,25.1,25.7,26.6,28.5,29.3,29.3,28.8,28.3,28.2,27.1,25.9,24.4,27.3
TAMAULIPAS,17.6,19.3,21.3,24.4,25.6,26.6,27.1,27.8,25.9,22.9,19.0,18.0,23.0
TLAXCALA,12.1,13.2,14.1,15.7,16.0,16.6,15.4,15.4,15.0,14.5,13.6,12.3,14.5
VERACRUZ,20.2,20.8,21.7,23.9,24.8,24.9,24.6,24.2,23.9,22.7,20.6,19.5,22.7
YUCATÁN,23.9,23.1,24.5,26.0,27.2,26.9,27.1,26.9,26.6,26.0,24.9,23.4,25.5
ZACATECAS,12.6,13.5,14.6,17.4,19.1,21.5,20.2,20.1,18.7,17.8,15.4,13.7,17.1
NACIONAL,17.3,17.9,19.2,21.4,22.6,23.7,23.2,23.3,22.3,21.2,19.1,17.5,20.7
