,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,034,"Edo. De Zacatecas, Zac.",  16 ,  16 ,"  6,7 ",  108 ,  8.167 ,  882.000 
,,037,"Altar Pitiquito, Son.",  10 ,  10 ,"  24,9 ",  249 ,  6.842 ,  1.701.715 
,,038,"Rio Mayo, Son.",  98 ,  98 ,"  26,0 ",  2.553 ,  5.221 ,  13.330.689 
,,041,"Rio Yaqui, Son.",  965 ,  965 ,"  20,0 ",  19.291 ,  7.329 ,  141.386.671 
,,043,"Edo. De Nayarit, Nay.",  51 ,  51 ,"  7,9 ",  401 ,  4.358 ,  1.747.380 
,,048,"Ticul, Yuc.",  49 ,  26 ,"  20,4 ",  535 ,  6.788 ,  3.633.072 
,,052,"Edo. De Durango, Dgo.",  2 ,  2 ,"  30,0 ",  60 ,  7.500 ,  450.000 
,,061,"Zamora, Mich.",  10 ,  10 ,"  23,1 ",  237 ,  5.240 ,  1.239.639 
,,063,"Guasave, Sin.",  537 ,  537 ,"  26,4 ",  14.172 ,  2.600 ,  36.845.900 
,,074,"Mocorito, Sin.",  147 ,  147 ,"  20,6 ",  3.024 ,  7.500 ,  22.681.050 
,,075,"Rio Fuerte, Sin.",  872 ,  872 ,"  28,0 ",  24.391 ,  7.894 ,  192.535.111 
,,076,"Valle Del Carrizo, Sin.",  215 ,  215 ,"  21,0 ",  4.514 ,  5.700 ,  25.730.712 
,,092A,"Rio Panuco, Unidad Animas.",  25 ,  25 ,"  8,0 ",  199 ,  12.000 ,  2.390.400 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  659 ,  443 ,"  0,3 ",  142 ,  30.440 ,  4.321.000 
,,108,"Elota-Piaxtla, Sin.",  65 ,  65 ,"  18,0 ",  1.170 ,  1.800 ,  2.106.000 
,,111,"Baluarte-Presidio, Sin.",  40 ,  40 ,"  27,0 ",  1.080 ,  6.200 ,  6.695.964 
Total Calabaza,,,,  4.553 ,  4.315 ,"  21,9 ",  94.382 ,  6.788 ,  640.630.415 
Camote,,011,"Alto Rio Lerma, Gto.",  54 ,  54 ,"  15,5 ",  835 ,  6.000 ,  5.009.910 
,,034,"Edo. De Zacatecas, Zac.",  3 ,  3 ,"  25,7 ",  74 ,  8.000 ,  592.819 
,,048,"Ticul, Yuc.",  18 ,  12 ,"  29,8 ",  354 ,  5.034 ,  1.782.893 
,,094,"Jalisco Sur, Jal.",  16 ,  16 ,"  25,3 ",  412 ,  4.749 ,  1.955.124 
,,097,"Lazaro Cardenas, Mich.",  76 ,  76 ,"  29,2 ",  2.205 ,  7.965 ,  17.563.000 
Total Camote,,,,  167 ,  160 ,"  24,2 ",  3.880 ,  6.934 ,  26.903.746 
Caña de Azúcar,Planta,002,"Mante, Tamps.",  3.019 ,  3.019 ,"  90,6 ",  273.537 ,  924 ,  252.849.591 
,,016,"Edo.De Morelos, Mor.",  16.527 ,  11.355 ,"  96,8 ",  1.099.432 ,  1.155 ,  1.269.909.654 
,,024,"Cienega De Chapala, Mich.",  256 ,  256 ,"  100,0 ",  25.615 ,  887 ,  22.712.144 
,,029,"Xicotencatl, Tamps.",  4.918 ,  4.918 ,"  84,3 ",  414.726 ,  1.069 ,  443.295.846 
,,060,"El Higo, Ver.",  146 ,  146 ,"  68,0 ",  9.912 ,  816 ,  8.087.931 
,,092B,"Rio Panuco, Unidad Chicayán.",  2.920 ,  2.920 ,"  59,5 ",  173.740 ,  864 ,  150.146.108 
,Soca,002,"Mante, Tamps.",  12.306 ,  12.306 ,"  67,7 ",  833.594 ,  924 ,  770.548.851 
,,010,"Culiacan-Humaya, Sin.",  666 ,  666 ,"  92,0 ",  61.272 ,  618 ,  37.886.928 
,,013,"Edo. De Jalisco, Jal.",  8.079 ,  8.079 ,"  87,4 ",  705.771 ,  955 ,  673.787.262 
,,029,"Xicotencatl, Tamps.",  12.760 ,  12.760 ,"  59,3 ",  756.423 ,  1.069 ,  808.531.107 
,,035,"La Antigua, Ver.",  18.698 ,  18.698 ,"  89,7 ",  1.677.813 ,  812 ,  1.363.071.547 
,,043,"Edo. De Nayarit, Nay.",  2.096 ,  2.096 ,"  134,3 ",  281.517 ,  859 ,  241.773.882 
,,046,"Cacahoatan, Chis.",  25 ,  25 ,"  59,2 ",  1.479 ,  444 ,  657.300 
,,053,"Edo. De Colima, Col.",  3.131 ,  3.131 ,"  99,4 ",  311.330 ,  906 ,  282.112.670 
,,059,"Rio Blanco, Chis.",  9.007 ,  9.007 ,"  102,8 ",  925.583 ,  900 ,  833.024.313 
,,060,"El Higo, Ver.",  1.719 ,  1.719 ,"  65,4 ",  112.397 ,  816 ,  91.716.009 
,,068,"Tepecoacuilco, Gro.",  3 ,  3 ,"  72,1 ",  195 ,  325 ,  63.268 
,,082,"Rio Blanco, Ver.",  4.686 ,  4.686 ,"  86,8 ",  406.809 ,  960 ,  390.590.245 
,,092A,"Rio Panuco, Unidad Animas.",  1.763 ,  1.763 ,"  112,5 ",  198.312 ,  970 ,  192.362.980 
,,092B,"Rio Panuco, Unidad Chicayán.",  6.080 ,  6.080 ,"  59,5 ",  361.760 ,  864 ,  312.632.992 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  2.278 ,  2.138 ,"  84,4 ",  180.397 ,  830 ,  149.729.840 
,,094,"Jalisco Sur, Jal.",  15.290 ,  13.152 ,"  105,7 ",  1.389.487 ,  1.035 ,  1.438.167.638 
,,097,"Lazaro Cardenas, Mich.",  2.733 ,  2.733 ,"  105,9 ",  289.341 ,  822 ,  237.944.400 
,,099,"Quit. La Magdalena, Mich.",  637 ,  637 ,"  91,6 ",  58.349 ,  896 ,  52.280.883 
,,102,"Rio Hondo, Q.R.",  5.061 ,  5.061 ,"  100,0 ",  506.100 ,  785 ,  397.364.420 
,,109,"Río San Lorenzo, Sin.",  5.798 ,  5.798 ,"  86,5 ",  501.643 ,  618 ,  310.185.908 
Total Caña de Azúcar,,,,  140.601 ,  133.151 ,"  86,8 ",  11.556.534 ,  929 ,  10.731.433.718 
Cártamo (Alazor),,010,"Culiacan-Humaya, Sin.",  3.072 ,  3.072 ,"  2,3 ",  7.127 ,  7.500 ,  53.452.800 
,,013,"Edo. De Jalisco, Jal.",  253 ,  253 ,"  2,4 ",  614 ,  5.191 ,  3.185.243 
,,014,"Rio Colorado, BC.",  51 ,  51 ,"  1,3 ",  66 ,  8.050 ,  533.715 
,,020,"Morelia, Mich.",  10 ,  10 ,"  2,5 ",  25 ,  6.000 ,  150.000 
,,024,"Cienega De Chapala, Mich.",  702 ,  702 ,"  4,0 ",  2.807 ,  7.400 ,  20.775.056 
,,038,"Rio Mayo, Son.",  17.737 ,  17.737 ,"  2,2 ",  39.377 ,  8.380 ,  329.981.169 
,,041,"Rio Yaqui, Son.",  2.309 ,  2.309 ,"  2,2 ",  5.125 ,  8.368 ,  42.888.813 
,,051,"Costa De Hermosillo, Son.",  2.950 ,  2.950 ,"  2,3 ",  6.874 ,  8.820 ,  60.624.270 
,,063,"Guasave, Sin.",  1.079 ,  1.079 ,"  1,3 ",  1.369 ,  8.064 ,  11.042.998 
,,066,"Sto. Domingo, Bcs.",  78 ,  78 ,"  1,5 ",  117 ,  7.850 ,  918.450 
,,074,"Mocorito, Sin.",  1.891 ,  1.891 ,"  1,3 ",  2.400 ,  4.550 ,  10.918.408 
,,075,"Rio Fuerte, Sin.",  49 ,  49 ,"  3,3 ",  163 ,  7.000 ,  1.142.146 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  315 ,  275 ,"  0,8 ",  220 ,  6.300 ,  1.386.000 
Total Cártamo (Alazor),,,,  30.496 ,  30.456 ,"  2,2 ",  66.285 ,  8.101 ,  536.999.068 
Cebada,,011,"Alto Rio Lerma, Gto.",  12.614 ,  12.614 ,"  5,3 ",  67.393 ,  5.262 ,  354.632.418 
,,013,"Edo. De Jalisco, Jal.",  55 ,  55 ,"  4,9 ",  269 ,  4.823 ,  1.295.388 
,,020,"Morelia, Mich.",  55 ,  55 ,"  6,0 ",  330 ,  4.200 ,  1.386.000 
,,023,"San Juan Del Rio, Qro.",  929 ,  929 ,"  6,0 ",  5.602 ,  5.367 ,  30.067.133 
,,024,"Cienega De Chapala, Mich.",  54 ,  54 ,"  5,1 ",  273 ,  5.300 ,  1.445.783 
,,025,"Bajo Rio Bravo, Tamps.",  47 ,  47 ,"  2,1 ",  99 ,  10.213 ,  1.011.598 
,,034,"Edo. De Zacatecas, Zac.",  104 ,  104 ,"  4,0 ",  418 ,  5.000 ,  2.088.400 
,,052,"Edo. De Durango, Dgo.",  383 ,  383 ,"  2,7 ",  1.025 ,  4.861 ,  4.980.440 
,,061,"Zamora, Mich.",  12 ,  12 ,"  4,6 ",  56 ,  4.191 ,  233.526 
,,085,"La Begoña, Gto.",  11 ,  11 ,"  5,5 ",  62 ,  5.136 ,  317.900 
,,087,"Rosario Mezquite, Mich.",  190 ,  190 ,"  3,9 ",  741 ,  6.000 ,  4.446.000 
Total Cebada,,,,  14.454 ,  14.454 ,"  5,3 ",  76.266 ,  5.270 ,  401.904.587 
Cebada Forrajera,Verde,003,"Tula, Hgo.",  1.300 ,  1.300 ,"  25,0 ",  32.500 ,  490 ,  15.925.000 
,,013,"Edo. De Jalisco, Jal.",  55 ,  55 ,"  18,4 ",  1.014 ,  820 ,  831.275 
,,014,"Rio Colorado, BC.",  2.419 ,  2.419 ,"  31,2 ",  75.352 ,  468 ,  35.254.870 
,,020,"Morelia, Mich.",  120 ,  120 ,"  18,0 ",  2.160 ,  654 ,  1.413.000 
,,034,"Edo. De Zacatecas, Zac.",  118 ,  118 ,"  10,6 ",  1.252 ,  3.500 ,  4.380.936 
,,037,"Altar Pitiquito, Son.",  24 ,  24 ,"  15,0 ",  361 ,  606 ,  218.600 
,,100,"Alfajayucan, Hgo.",  140 ,  140 ,"  19,1 ",  2.675 ,  436 ,  1.166.948 
,,112,"Ajacuba, Hgo.",  165 ,  165 ,"  25,0 ",  4.125 ,  490 ,  2.021.250 
Total Cebada Forrajera,,,,  4.341 ,  4.341 ,"  27,5 ",  119.439 ,  512 ,  61.211.879 
Cebolla,,001,"Pabellón, Ags.",  624 ,  624 ,"  33,0 ",  20.565 ,  4.333 ,  89.109.851 
,,005,"Cd. Delicias, Chih.",  1.386 ,  1.386 ,"  85,0 ",  117.810 ,  1.000 ,  117.810.000 
,,010,"Culiacan-Humaya, Sin.",  1.260 ,  1.260 ,"  30,0 ",  37.800 ,  4.000 ,  151.200.000 
,,011,"Alto Rio Lerma, Gto.",  336 ,  336 ,"  38,0 ",  12.779 ,  3.996 ,  51.068.307 
,,013,"Edo. De Jalisco, Jal.",  54 ,  54 ,"  18,5 ",  999 ,  3.785 ,  3.780.693 
,,016,"Edo.De Morelos, Mor.",  535 ,  535 ,"  30,0 ",  16.050 ,  8.000 ,  128.400.000 
,,034,"Edo. De Zacatecas, Zac.",  14 ,  14 ,"  40,7 ",  570 ,  1.099 ,  626.400 
,,037,"Altar Pitiquito, Son.",  1 ,  1 ,"  31,0 ",  31 ,  4.386 ,  135.977 
,,038,"Rio Mayo, Son.",  158 ,  158 ,"  25,5 ",  4.030 ,  7.292 ,  29.384.295 
,,041,"Rio Yaqui, Son.",  153 ,  153 ,"  22,0 ",  3.363 ,  10.818 ,  36.382.449 
,,045,"Tuxpan, Mich.",  109 ,  109 ,"  18,0 ",  1.962 ,  4.000 ,  7.848.000 
,,049,"Rio Verde, S.L.P.",  21 ,  21 ,"  10,0 ",  210 ,  15.000 ,  3.150.000 
,,061,"Zamora, Mich.",  205 ,  205 ,"  34,5 ",  7.094 ,  3.877 ,  27.503.259 
,,063,"Guasave, Sin.",  175 ,  175 ,"  30,7 ",  5.370 ,  17.434 ,  93.612.408 
,,066,"Sto. Domingo, Bcs.",  127 ,  127 ,"  34,7 ",  4.402 ,  8.769 ,  38.598.375 
,,068,"Tepecoacuilco, Gro.",  30 ,  30 ,"  30,1 ",  894 ,  3.225 ,  2.883.053 
,,074,"Mocorito, Sin.",  213 ,  213 ,"  28,5 ",  6.064 ,  6.000 ,  36.385.200 
,,075,"Rio Fuerte, Sin.",  47 ,  47 ,"  41,0 ",  1.930 ,  2.690 ,  5.192.014 
,,084,"Guaymas, Son.",  92 ,  92 ,"  30,4 ",  2.797 ,  4.636 ,  12.968.100 
,,085,"La Begoña, Gto.",  394 ,  394 ,"  27,4 ",  10.785 ,  4.892 ,  52.756.070 
,,092A,"Rio Panuco, Unidad Animas.",  676 ,  676 ,"  34,6 ",  23.363 ,  6.546 ,  152.933.400 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  93 ,  53 ,"  21,6 ",  1.144 ,  3.000 ,  3.432.000 
,,094,"Jalisco Sur, Jal.",  5 ,  5 ,"  25,0 ",  136 ,  4.800 ,  650.400 
,,113,"Alto Río Conchos, Chih.",  315 ,  315 ,"  61,5 ",  19.373 ,  4.000 ,  77.490.000 
Total Cebolla,,,,  7.023 ,  6.983 ,"  42,9 ",  299.519 ,  3.750 ,  1.123.300.251 
Cebolla Pequeña (cebollín),,014,"Rio Colorado, BC.",  7.174 ,  7.174 ,"  15,6 ",  111.843 ,  16.625 ,  1.859.421.131 
Total Cebolla Pequeña (cebollín),,,,  7.174 ,  7.174 ,"  15,6 ",  111.843 ,  16.625 ,  1.859.421.131 
Chayote,,045,"Tuxpan, Mich.",  384 ,  384 ,"  40,0 ",  15.360 ,  5.000 ,  76.800.000 
Total Chayote,,,,  384 ,  384 ,"  40,0 ",  15.360 ,  5.000 ,  76.800.000 
Chícharo,,008,"Meztitlan, Hgo.",  18 ,  18 ,"  4,8 ",  84 ,  17.980 ,  1.511.669 
,,011,"Alto Rio Lerma, Gto.",  20 ,  20 ,"  9,9 ",  200 ,  10.807 ,  2.156.000 
,,041,"Rio Yaqui, Son.",  66 ,  66 ,"  5,0 ",  332 ,  6.658 ,  2.207.460 
,,045,"Tuxpan, Mich.",  50 ,  50 ,"  13,0 ",  650 ,  6.000 ,  3.900.000 
,,066,"Sto. Domingo, Bcs.",  80 ,  80 ,"  7,2 ",  576 ,  5.355 ,  3.084.480 
,,075,"Rio Fuerte, Sin.",  170 ,  170 ,"  8,4 ",  1.437 ,  7.000 ,  10.057.908 
Total Chícharo,,,,  404 ,  404 ,"  8,1 ",  3.278 ,  6.991 ,  22.917.516 
Chicozapote,,048,"Ticul, Yuc.",  17 ,  17 ,"  14,6 ",  253 ,  3.416 ,  865.922 
,,053,"Edo. De Colima, Col.",  11 ,  11 ,"  8,0 ",  88 ,  8.000 ,  704.000 
,,097,"Lazaro Cardenas, Mich.",  50 ,  50 ,"  10,0 ",  500 ,  5.000 ,  2.500.000 
Total Chicozapote,,,,  78 ,  78 ,"  10,7 ",  841 ,  4.837 ,  4.069.922 
Chile,Seco,034,"Edo. De Zacatecas, Zac.",  33 ,  27 ,"  1,7 ",  45 ,  64.535 ,  2.922.640 
,,052,"Edo. De Durango, Dgo.",  154 ,  152 ,"  1,2 ",  180 ,  65.000 ,  11.707.930 
,Verde,001,"Pabellón, Ags.",  177 ,  177 ,"  20,6 ",  3.650 ,  4.973 ,  18.153.512 
,,003,"Tula, Hgo.",  264 ,  264 ,"  8,0 ",  2.112 ,  18.000 ,  38.016.000 
,,005,"Cd. Delicias, Chih.",  4.482 ,  4.482 ,"  50,0 ",  224.100 ,  4.500 ,  1.008.450.000 
,,008,"Meztitlan, Hgo.",  176 ,  176 ,"  30,8 ",  5.430 ,  14.500 ,  78.735.580 
,,010,"Culiacan-Humaya, Sin.",  3.243 ,  3.243 ,"  89,2 ",  289.113 ,  13.746 ,  3.974.185.286 
,,011,"Alto Rio Lerma, Gto.",  7 ,  7 ,"  10,0 ",  68 ,  9.500 ,  646.000 
,,014,"Rio Colorado, BC.",  155 ,  155 ,"  28,7 ",  4.458 ,  11.000 ,  49.040.409 
,,017,"Region Lagunera,Coah.Dgo.",  220 ,  220 ,"  10,4 ",  2.296 ,  16.799 ,  38.566.020 
,,020,"Morelia, Mich.",  270 ,  270 ,"  40,0 ",  10.800 ,  6.000 ,  64.800.000 
,,023,"San Juan Del Rio, Qro.",  72 ,  72 ,"  1,8 ",  129 ,  85.000 ,  10.977.750 
,,025,"Bajo Rio Bravo, Tamps.",  2 ,  2 ,"  0,4 ",  1 ,  120.000 ,  96.000 
,,026,"Bajo Rio San Juan, Tamps.",  2 ,  2 ,"  8,0 ",  20 ,  21.000 ,  419.991 
,,030,"Valsequillo, Pue.",  132 ,  132 ,"  10,9 ",  1.440 ,  10.363 ,  14.925.832 
,,034,"Edo. De Zacatecas, Zac.",  2 ,  2 ,"  32,9 ",  66 ,  8.500 ,  558.790 
,,035,"La Antigua, Ver.",  6 ,  6 ,"  6,0 ",  36 ,  5.000 ,  180.000 
,,037,"Altar Pitiquito, Son.",  32 ,  32 ,"  22,5 ",  720 ,  8.502 ,  6.121.598 
,,038,"Rio Mayo, Son.",  380 ,  380 ,"  27,6 ",  10.509 ,  9.871 ,  103.737.111 
,,041,"Rio Yaqui, Son.",  1.216 ,  1.216 ,"  43,0 ",  52.299 ,  8.329 ,  435.596.289 
,,042,"Buenaventura, Chih.",  987 ,  987 ,"  40,7 ",  40.113 ,  2.706 ,  108.546.915 
,,043,"Edo. De Nayarit, Nay.",  174 ,  174 ,"  20,4 ",  3.551 ,  7.821 ,  27.772.100 
,,045,"Tuxpan, Mich.",  30 ,  30 ,"  20,0 ",  600 ,  9.000 ,  5.400.000 
,,048,"Ticul, Yuc.",  1 ,  1 ,"  11,8 ",  11 ,  24.736 ,  279.764 
,,049,"Rio Verde, S.L.P.",  33 ,  33 ,"  20,0 ",  660 ,  20.000 ,  13.200.000 
,,051,"Costa De Hermosillo, Son.",  905 ,  905 ,"  62,2 ",  56.249 ,  11.811 ,  664.359.403 
,,053,"Edo. De Colima, Col.",  31 ,  31 ,"  40,0 ",  1.240 ,  4.000 ,  4.960.000 
,,063,"Guasave, Sin.",  369 ,  369 ,"  30,0 ",  11.068 ,  12.000 ,  132.818.400 
,,066,"Sto. Domingo, Bcs.",  336 ,  336 ,"  28,9 ",  9.714 ,  10.528 ,  102.268.700 
,,074,"Mocorito, Sin.",  5 ,  5 ,"  35,0 ",  175 ,  7.000 ,  1.225.000 
,,075,"Rio Fuerte, Sin.",  2.624 ,  2.624 ,"  44,5 ",  116.830 ,  13.914 ,  1.625.592.337 
,,076,"Valle Del Carrizo, Sin.",  314 ,  314 ,"  28,1 ",  8.830 ,  8.950 ,  79.032.304 
,,084,"Guaymas, Son.",  1.310 ,  1.310 ,"  53,4 ",  69.938 ,  9.282 ,  649.145.489 
,,085,"La Begoña, Gto.",  29 ,  29 ,"  10,5 ",  303 ,  8.995 ,  2.724.650 
,,087,"Rosario Mezquite, Mich.",  260 ,  260 ,"  54,8 ",  14.235 ,  13.377 ,  190.422.500 
,,089,"El Carmen, Chih.",  4.280 ,  4.280 ,"  32,4 ",  138.620 ,  5.775 ,  800.464.000 
,,092A,"Rio Panuco, Unidad Animas.",  364 ,  364 ,"  48,7 ",  17.741 ,  10.060 ,  178.481.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  147 ,  147 ,"  18,2 ",  2.680 ,  6.476 ,  17.355.000 
,,093,"Tomatlan, Jal.",  18 ,  17 ,"  44,0 ",  748 ,  3.870 ,  2.894.760 
,,094,"Jalisco Sur, Jal.",  7 ,  7 ,"  18,0 ",  131 ,  10.000 ,  1.306.800 
,,097,"Lazaro Cardenas, Mich.",  1 ,  1 ,"  4,0 ",  4 ,  5.000 ,  20.000 
,,100,"Alfajayucan, Hgo.",  1.060 ,  1.060 ,"  6,0 ",  6.394 ,  15.396 ,  98.444.565 
,,103,"Rio Florido, Chih.",  104 ,  104 ,"  42,1 ",  4.379 ,  5.000 ,  21.892.500 
,,108,"Elota-Piaxtla, Sin.",  1.282 ,  1.282 ,"  45,0 ",  57.695 ,  3.520 ,  203.084.640 
,,111,"Baluarte-Presidio, Sin.",  728 ,  728 ,"  80,0 ",  58.200 ,  15.900 ,  925.380.000 
,,112,"Ajacuba, Hgo.",  21 ,  21 ,"  8,0 ",  168 ,  18.000 ,  3.024.000 
,,113,"Alto Río Conchos, Chih.",  650 ,  650 ,"  35,2 ",  22.880 ,  3.000 ,  68.640.000 
Total Chile,,,,  27.096 ,  27.086 ,"  46,2 ",  1.250.631 ,  9.425 ,  11.786.571.566 
Cilantro,,011,"Alto Rio Lerma, Gto.",  18 ,  18 ,"  5,3 ",  94 ,  10.000 ,  944.200 
,,014,"Rio Colorado, BC.",  950 ,  950 ,"  16,5 ",  15.713 ,  12.478 ,  196.066.814 
,,025,"Bajo Rio Bravo, Tamps.",  23 ,  23 ,"  2,1 ",  49 ,  30.000 ,  1.470.000 
,,085,"La Begoña, Gto.",  23 ,  23 ,"  6,8 ",  154 ,  10.341 ,  1.592.679 
,,100,"Alfajayucan, Hgo.",  5 ,  5 ,"  2,0 ",  10 ,  7.500 ,  75.000 
Total Cilantro,,,,  1.018 ,  1.018 ,"  15,7 ",  16.020 ,  12.493 ,  200.148.693 
Ciruelo,,052,"Edo. De Durango, Dgo.",  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Total Ciruelo,,,,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Cítricos Asociados,,051,"Costa De Hermosillo, Son.",  2.768 ,  2.768 ,"  32,5 ",  89.822 ,  5.037 ,  452.422.417 
,,101,"Cuxtepeques, Chis.",  100 ,  100 ,"  28,0 ",  2.800 ,  4.900 ,  13.720.000 
Total Cítricos Asociados,,,,  2.868 ,  2.868 ,"  32,3 ",  92.622 ,  5.033 ,  466.142.417 
Cocotero,Copra,053,"Edo. De Colima, Col.",  371 ,  371 ,"  3,0 ",  1.107 ,  5.929 ,  6.561.520 
,,104,"Cuajinicuilapa, Gro.",  235 ,  235 ,"  2,0 ",  470 ,  5.500 ,  2.585.000 
,,105,"Nexpa, Gro.",  1.903 ,  1.903 ,"  2,0 ",  3.846 ,  7.000 ,  26.919.550 
,Fruta,048,"Ticul, Yuc.",  44 ,  44 ,"  30,2 ",  1.325 ,  2.258 ,  2.992.934 
,,098,"Jose Maria Morelos, Mich.",  780 ,  780 ,"  25,4 ",  19.778 ,  1.500 ,  29.667.228 
Total Cocotero,,,,  3.333 ,  3.333 ,"  8,0 ",  26.526 ,  2.591 ,  68.726.232 
Cocotero Asociado,Copra,095,"Atoyac, Gro.",  742 ,  742 ,"  3,5 ",  2.598 ,  8.300 ,  21.562.944 
,Fruta,053,"Edo. De Colima, Col.",  2.166 ,  2.166 ,"  13,0 ",  28.149 ,  5.585 ,  157.215.754 
,,098,"Jose Maria Morelos, Mich.",  480 ,  480 ,"  27,0 ",  12.960 ,  1.600 ,  20.736.000 
Total Cocotero Asociado,,,,  3.388 ,  3.388 ,"  12,9 ",  43.707 ,  4.565 ,  199.514.698 
Col (Repollo),,011,"Alto Rio Lerma, Gto.",  72 ,  72 ,"  44,6 ",  3.212 ,  2.587 ,  8.308.238 
,,013,"Edo. De Jalisco, Jal.",  7 ,  7 ,"  37,6 ",  263 ,  2.050 ,  539.560 
,,014,"Rio Colorado, BC.",  462 ,  462 ,"  24,0 ",  11.086 ,  8.910 ,  98.770.221 
,,038,"Rio Mayo, Son.",  45 ,  45 ,"  28,3 ",  1.274 ,  8.256 ,  10.521.446 
,,045,"Tuxpan, Mich.",  53 ,  53 ,"  31,4 ",  1.663 ,  4.800 ,  7.982.400 
,,052,"Edo. De Durango, Dgo.",  14 ,  14 ,"  32,1 ",  444 ,  2.200 ,  976.470 
,,061,"Zamora, Mich.",  16 ,  16 ,"  28,3 ",  452 ,  3.061 ,  1.384.161 
,,066,"Sto. Domingo, Bcs.",  337 ,  337 ,"  25,9 ",  8.732 ,  9.559 ,  83.465.600 
,,085,"La Begoña, Gto.",  10 ,  10 ,"  31,6 ",  316 ,  2.155 ,  681.000 
Total Col (Repollo),,,,  1.016 ,  1.016 ,"  27,0 ",  27.443 ,  7.748 ,  212.629.096 
Col crespa (Kale),,014,"Rio Colorado, BC.",  206 ,  206 ,"  14,3 ",  2.946 ,  9.787 ,  28.830.545 
Total Col crespa (Kale),,,,  206 ,  206 ,"  14,3 ",  2.946 ,  9.787 ,  28.830.545 
Col de Bruselas,,014,"Rio Colorado, BC.",  571 ,  571 ,"  11,4 ",  6.495 ,  15.508 ,  100.720.116 
,,037,"Altar Pitiquito, Son.",  66 ,  66 ,"  24,9 ",  1.645 ,  17.614 ,  28.981.131 
,,041,"Rio Yaqui, Son.",  174 ,  174 ,"  25,0 ",  4.362 ,  11.574 ,  50.485.788 
Total Col de Bruselas,,,,  812 ,  812 ,"  15,4 ",  12.502 ,  14.413 ,  180.187.035 
Coliflor,,003,"Tula, Hgo.",  1.558 ,  1.558 ,"  25,0 ",  38.950 ,  7.400 ,  288.230.000 
,,011,"Alto Rio Lerma, Gto.",  236 ,  236 ,"  15,4 ",  3.629 ,  6.958 ,  25.250.172 
,,014,"Rio Colorado, BC.",  245 ,  245 ,"  17,1 ",  4.177 ,  8.421 ,  35.176.622 
,,041,"Rio Yaqui, Son.",  92 ,  92 ,"  21,0 ",  1.935 ,  7.500 ,  14.510.475 
,,061,"Zamora, Mich.",  76 ,  76 ,"  27,1 ",  2.048 ,  4.395 ,  9.002.938 
,,100,"Alfajayucan, Hgo.",  3.447 ,  3.447 ,"  19,8 ",  68.324 ,  11.175 ,  763.552.442 
,,112,"Ajacuba, Hgo.",  14 ,  14 ,"  25,0 ",  350 ,  7.400 ,  2.590.000 
Total Coliflor,,,,  5.667 ,  5.667 ,"  21,1 ",  119.413 ,  9.533 ,  1.138.312.650 
Colza (Canola/Mostaza),,025,"Bajo Rio Bravo, Tamps.",  89 ,  89 ,"  0,7 ",  64 ,  7.500 ,  477.900 
Total Colza (Canola/Mostaza),,,,  89 ,  89 ,"  0,7 ",  64 ,  7.500 ,  477.900 
Dátil (palmera datilera),,014,"Rio Colorado, BC.",  1.723 ,  1.723 ,"  7,2 ",  12.319 ,  63.586 ,  783.346.026 
,,037,"Altar Pitiquito, Son.",  10 ,  10 ,"  10,0 ",  102 ,  53.325 ,  5.439.150 
Total Dátil (palmera datilera),,,,  1.733 ,  1.733 ,"  7,2 ",  12.421 ,  63.502 ,  788.785.176 
Durazno (Melocotón),,034,"Edo. De Zacatecas, Zac.",  18 ,  18 ,"  6,0 ",  108 ,  12.000 ,  1.296.000 
,,037,"Altar Pitiquito, Son.",  122 ,  122 ,"  10,5 ",  1.278 ,  7.375 ,  9.423.773 
,,045,"Tuxpan, Mich.",  20 ,  20 ,"  6,0 ",  120 ,  7.000 ,  840.000 
,,051,"Costa De Hermosillo, Son.",  60 ,  60 ,"  10,5 ",  630 ,  7.375 ,  4.646.067 
,,052,"Edo. De Durango, Dgo.",  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Total Durazno (Melocotón),,,,  229 ,  220 ,"  9,7 ",  2.136 ,  7.588 ,  16.205.840 
Ebo (Veza/Janamargo),,013,"Edo. De Jalisco, Jal.",  40 ,  40 ,"  11,0 ",  438 ,  845 ,  370.110 
,,056,"Atoyac-Zahuapan, Tlax.",  202 ,  202 ,"  16,0 ",  3.232 ,  1.500 ,  4.848.000 
,,061,"Zamora, Mich.",  65 ,  65 ,"  12,1 ",  794 ,  1.000 ,  793.909 
Total Ebo (Veza/Janamargo),,,,  307 ,  307 ,"  14,5 ",  4.464 ,  1.347 ,  6.012.019 
