,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,018,"Colonias Yaquis, Son.",  514 ,  514 ,"  61,8 ",  31.767 ,  847 ,  26.906.825 
,,020,"Morelia, Mich.",  1.949 ,  1.949 ,"  60,6 ",  118.057 ,  1.498 ,  176.829.900 
,,023,"San Juan Del Rio, Qro.",  1.030 ,  1.030 ,"  78,4 ",  80.782 ,  678 ,  54.776.180 
,,024,"Cienega De Chapala, Mich.",  527 ,  527 ,"  90,0 ",  47.394 ,  3.200 ,  151.660.800 
,,026,"Bajo Rio San Juan, Tamps.",  31 ,  31 ,"  11,1 ",  340 ,  3.700 ,  1.256.335 
,,028,"Tulancingo, Hgo.",  126 ,  126 ,"  101,0 ",  12.726 ,  358 ,  4.555.908 
,,030,"Valsequillo, Pue.",  4.239 ,  4.239 ,"  82,1 ",  348.217 ,  594 ,  206.783.582 
,,034,"Edo. De Zacatecas, Zac.",  1.662 ,  1.635 ,"  12,0 ",  19.676 ,  3.887 ,  76.478.189 
,,037,"Altar Pitiquito, Son.",  797 ,  797 ,"  94,7 ",  75.487 ,  900 ,  67.937.955 
,,038,"Rio Mayo, Son.",  1.451 ,  1.451 ,"  17,8 ",  25.851 ,  857 ,  22.154.339 
,,041,"Rio Yaqui, Son.",  5.767 ,  5.767 ,"  65,4 ",  376.974 ,  857 ,  323.067.068 
,,042,"Buenaventura, Chih.",  746 ,  746 ,"  80,2 ",  59.805 ,  716 ,  42.790.406 
,,045,"Tuxpan, Mich.",  61 ,  61 ,"  60,0 ",  3.660 ,  1.000 ,  3.660.000 
,,049,"Rio Verde, S.L.P.",  400 ,  400 ,"  30,0 ",  12.000 ,  1.200 ,  14.400.000 
,,051,"Costa De Hermosillo, Son.",  390 ,  390 ,"  78,4 ",  30.584 ,  945 ,  28.898.604 
,,052,"Edo. De Durango, Dgo.",  982 ,  982 ,"  78,1 ",  76.652 ,  3.655 ,  280.183.195 
,,056,"Atoyac-Zahuapan, Tlax.",  701 ,  701 ,"  85,0 ",  59.585 ,  800 ,  47.668.000 
,,061,"Zamora, Mich.",  9 ,  9 ,"  66,1 ",  624 ,  773 ,  482.085 
,,063,"Guasave, Sin.",  751 ,  751 ,"  49,4 ",  37.094 ,  2.650 ,  98.298.782 
,,066,"Sto. Domingo, Bcs.",  4.127 ,  4.127 ,"  100,0 ",  412.700 ,  1.200 ,  495.240.000 
,,073,"La Concepcion, Mex.",  60 ,  60 ,"  99,0 ",  5.940 ,  320 ,  1.900.800 
,,074,"Mocorito, Sin.",  572 ,  572 ,"  73,1 ",  41.794 ,  3.500 ,  146.279.945 
,,075,"Rio Fuerte, Sin.",  3.115 ,  3.115 ,"  42,0 ",  130.788 ,  3.703 ,  484.280.675 
,,076,"Valle Del Carrizo, Sin.",  544 ,  544 ,"  67,0 ",  36.435 ,  575 ,  20.950.280 
,,083,"Papigochic, Chih.",  287 ,  287 ,"  27,7 ",  7.930 ,  1.462 ,  11.593.192 
,,084,"Guaymas, Son.",  270 ,  270 ,"  102,2 ",  27.597 ,  900 ,  24.837.030 
,,085,"La Begoña, Gto.",  3.021 ,  3.021 ,"  24,7 ",  74.684 ,  2.696 ,  201.344.568 
,,088,"Chiconautla, Mex.",  170 ,  170 ,"  100,0 ",  17.000 ,  320 ,  5.440.000 
,,089,"El Carmen, Chih.",  1.935 ,  1.935 ,"  74,8 ",  144.815 ,  716 ,  103.615.419 
,,090,"Bajo Rio Conchos, Chih.",  1.527 ,  1.527 ,"  84,0 ",  128.304 ,  690 ,  88.529.843 
,,094,"Jalisco Sur, Jal.",  27 ,  27 ,"  92,1 ",  2.526 ,  2.600 ,  6.567.756 
,,100,"Alfajayucan, Hgo.",  11.148 ,  11.148 ,"  99,2 ",  1.106.213 ,  450 ,  498.145.517 
,,103,"Rio Florido, Chih.",  1.909 ,  1.909 ,"  46,0 ",  87.733 ,  681 ,  59.731.340 
,,108,"Elota-Piaxtla, Sin.",  11 ,  11 ,"  28,0 ",  319 ,  610 ,  194.712 
,,109,"Río San Lorenzo, Sin.",  21 ,  21 ,"  72,0 ",  1.512 ,  690 ,  1.042.690 
,,112,"Ajacuba, Hgo.",  1.622 ,  1.622 ,"  140,0 ",  227.080 ,  500 ,  113.540.000 
,,113,"Alto Río Conchos, Chih.",  2.290 ,  2.290 ,"  77,0 ",  176.330 ,  900 ,  158.697.000 
Total Alfalfa,,,,  158.462 ,  158.435 ,"  71,2 ",  11.288.042 ,  1.155 ,  13.038.096.448 
Algodón,,005,"Cd. Delicias, Chih.",  486 ,  486 ,"  4,3 ",  2.080 ,  15.550 ,  32.345.244 
,,009,"Cd. Juarez, Chih.",  4.757 ,  4.757 ,"  3,5 ",  16.650 ,  14.800 ,  246.412.600 
,,014,"Rio Colorado, BC.",  22.730 ,  22.730 ,"  3,8 ",  87.283 ,  8.935 ,  779.895.428 
,,017,"Region Lagunera,Coah.Dgo.",  8.692 ,  8.692 ,"  5,2 ",  45.060 ,  11.372 ,  512.428.075 
,,018,"Colonias Yaquis, Son.",  196 ,  196 ,"  4,0 ",  784 ,  12.900 ,  10.113.600 
,,025,"Bajo Rio Bravo, Tamps.",  3.111 ,  3.111 ,"  2,8 ",  8.818 ,  11.110 ,  97.964.336 
,,026,"Bajo Rio San Juan, Tamps.",  5.257 ,  5.257 ,"  2,4 ",  12.829 ,  17.500 ,  224.504.438 
,,041,"Rio Yaqui, Son.",  232 ,  232 ,"  4,0 ",  933 ,  11.865 ,  11.069.392 
,,042,"Buenaventura, Chih.",  87 ,  87 ,"  4,3 ",  374 ,  11.500 ,  4.302.150 
,,089,"El Carmen, Chih.",  880 ,  880 ,"  5,0 ",  4.364 ,  11.500 ,  50.186.000 
