,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
Suma de Usuarios 005,,,,2.520,5.539,8.059,,,,,,,250,760,1.010,9.069
Suma de Superficie Física Regada 005,,,,16.124,30.015,46.139,,,,,,,1.261,2.681,3.942,50.081
Suma de Volumen Bruto 005,,,,344.651,586.937,931.588,,,,,,,22.706,48.257,70.963,1.002.551
Lámina Bruta 005,,,,214,196,202,0,0,0,0,0,0,180,180,180,200
006,"Palestina, Coah.",1 cultivo,Usuarios,241,92,333,196,57,253,105,,105,,,,691
,,,Superficie Física Regada (ha),1.082,1.098,2.180,1.073,781,1.854,260,,260,,,,4.293
,,,Volumen Bruto (miles m3),11.838,10.802,22.640,13.176,9.656,22.832,1.630,,1.630,,,,47.102
,,,Lamina Bruta (cm),109,98,104,123,124,123,63,0,63,0,0,0,110
Suma de Usuarios 006,,,,241,92,333,196,57,253,105,,105,,,,691
Suma de Superficie Física Regada 006,,,,1.082,1.098,2.180,1.073,781,1.854,260,,260,,,,4.293
Suma de Volumen Bruto 006,,,,11.838,10.802,22.640,13.176,9.656,22.832,1.630,,1.630,,,,47.102
Lámina Bruta 006,,,,109,98,104,123,124,123,63,0,63,0,0,0,110
008,"Meztitlan, Hgo.",1 cultivo,Usuarios,,,,313,281,594,,,,,2,2,596
,,,Superficie Física Regada (ha),,,,206,780,986,,,,,1,1,987
,,,Volumen Bruto (miles m3),,,,1.217,4.313,5.530,,,,,7,7,5.537
,,,Lamina Bruta (cm),0,0,0,59,55,56,0,0,0,0,62,62,56
,,2 cultivos,Usuarios,,,,756,687,1.443,,,,,6,6,1.449
,,,Superficie Física Regada (ha),,,,538,1.821,2.359,,,,,15,15,2.374
,,,Volumen Bruto (miles m3),,,,6.126,18.975,25.102,,,,,164,164,25.266
,,,Lamina Bruta (cm),0,0,0,114,104,106,0,0,0,0,107,107,106
Suma de Usuarios 008,,,,,,,1.069,968,2.037,,,,,8,8,2.045
Suma de Superficie Física Regada 008,,,,,,,744,2.601,3.345,,,,,17,17,3.362
Suma de Volumen Bruto 008,,,,,,,7.343,23.288,30.632,,,,,172,172,30.803
Lámina Bruta 008,,,,0,0,0,99,90,92,0,0,0,0,104,104,92
009,"Cd. Juarez, Chih.",1 cultivo,Usuarios,,,,542,137,679,,,,47,,47,726
